created_at,id
2019-12-18,20
2019-12-19,34
2019-12-20,30
2019-12-21,24
2019-12-22,31
2019-12-23,48
2019-12-24,32
2019-12-25,29
2019-12-26,30
2019-12-27,25
2019-12-28,22
2019-12-29,28
2019-12-30,30
2019-12-31,45
2020-01-01,45
2020-01-02,28
2020-01-03,21
2020-01-04,17
2020-01-05,12
2020-01-06,36
2020-01-07,84
2020-01-08,71
2020-01-09,93
2020-01-10,86
2020-01-11,231
2020-01-12,202
2020-01-13,162
2020-01-14,258
2020-01-15,299
2020-01-16,337
2020-01-17,288
2020-01-18,227
2020-01-19,184
2020-01-20,132
2020-01-21,129
2020-01-22,126
2020-01-23,139
2020-01-24,134
2020-01-25,146
2020-01-26,143
2020-01-27,96
2020-01-28,109
2020-01-29,111
2020-01-30,117
2020-01-31,85
2020-02-01,82
2020-02-02,94
2020-02-03,108
2020-02-04,104
2020-02-05,84
2020-02-06,69
2020-02-07,95
2020-02-08,90
2020-02-09,120
2020-02-10,186
2020-02-11,234
2020-02-12,244
2020-02-13,360
2020-02-14,348
2020-02-15,336
2020-02-16,328
2020-02-17,445
2020-02-18,632
2020-02-19,795
2020-02-20,546
2020-02-21,453
2020-02-22,584
2020-02-23,578
2020-02-24,646
2020-02-25,832
2020-02-26,959
2020-02-27,1834
2020-02-28,2503
2020-02-29,1907
2020-03-01,2338
2020-03-02,2177
2020-03-03,2594
2020-03-04,2244
2020-03-05,2196
2020-03-06,2432
2020-03-07,2444
2020-03-08,3354
2020-03-09,2539
2020-03-10,2719
2020-03-11,2211
2020-03-12,2274
2020-03-13,2381
2020-03-14,2355
2020-03-15,2135
2020-03-16,2002
2020-03-17,1968
2020-03-18,1782
2020-03-19,1653
2020-03-20,1599
2020-03-21,1575
2020-03-22,1599
2020-03-23,1544
2020-03-24,1302
2020-03-25,1394
2020-03-26,1322
2020-03-27,1248
2020-03-28,1215
2020-03-29,1332
2020-03-30,1223
2020-03-31,1128
2020-04-01,1084
2020-04-02,1239
2020-04-03,1107
2020-04-04,1272
2020-04-05,1015
2020-04-06,1099
2020-04-07,1019
2020-04-08,982
2020-04-09,944
2020-04-10,1055
2020-04-11,945
2020-04-12,1146
2020-04-13,993
2020-04-14,967
2020-04-15,1004
2020-04-16,875
2020-04-17,852
2020-04-18,778
2020-04-19,868
2020-04-20,880
2020-04-21,845
2020-04-22,746
2020-04-23,810
2020-04-24,818
2020-04-25,729
2020-04-26,828
2020-04-27,840
2020-04-28,724
2020-04-29,674
2020-04-30,623
2020-05-01,662
2020-05-02,587
2020-05-03,613
2020-05-04,651
2020-05-05,644
2020-05-06,673
2020-05-07,582
2020-05-08,528
2020-05-09,500
2020-05-10,535
2020-05-11,577
2020-05-12,604
2020-05-13,517
2020-05-14,520
2020-05-15,436
2020-05-16,396
2020-05-17,428
2020-05-18,397
2020-05-19,391
2020-05-20,367
2020-05-21,457
2020-05-22,530
2020-05-23,479
2020-05-24,404
2020-05-25,382
2020-05-26,373
2020-05-27,337
2020-05-28,420
2020-05-29,359
2020-05-30,333
2020-05-31,348
2020-06-01,324
2020-06-02,378
2020-06-03,371
2020-06-04,407
2020-06-05,349
2020-06-06,535
2020-06-07,473
2020-06-08,466
2020-06-09,504
2020-06-10,464
2020-06-11,500
2020-06-12,433
2020-06-13,453
2020-06-14,472
2020-06-15,527
2020-06-16,742
2020-06-17,606
2020-06-18,523
2020-06-19,559
2020-06-20,779
2020-06-21,566
2020-06-22,670
2020-06-23,1172
2020-06-24,919
2020-06-25,790
2020-06-26,892
2020-06-27,750
2020-06-28,863
2020-06-29,813
2020-06-30,820
2020-07-01,784
2020-07-02,697
2020-07-03,796
2020-07-04,693
2020-07-05,1017
2020-07-06,817
2020-07-07,780
2020-07-08,910
2020-07-09,812
2020-07-10,713
2020-07-11,563
2020-07-12,789
2020-07-13,833
2020-07-14,706
2020-07-15,812
2020-07-16,906
2020-07-17,834
2020-07-18,697
2020-07-19,1260
2020-07-20,1007
2020-07-21,806
2020-07-22,783
2020-07-23,740
2020-07-24,711
2020-07-25,761
2020-07-26,749
2020-07-27,715
2020-07-28,771
2020-07-29,680
2020-07-30,616
2020-07-31,634
2020-08-01,550
2020-08-02,563
2020-08-03,513
2020-08-04,626
2020-08-05,709
2020-08-06,650
2020-08-07,572
2020-08-08,582
2020-08-09,537
2020-08-10,648
2020-08-11,595
2020-08-12,520
2020-08-13,427
2020-08-14,422
2020-08-15,483
2020-08-16,505
2020-08-17,623
2020-08-18,570
2020-08-19,681
2020-08-20,591
2020-08-21,537
2020-08-22,665
2020-08-23,807
2020-08-24,796
2020-08-25,613
2020-08-26,521
2020-08-27,611
2020-08-28,478
2020-08-29,507
2020-08-30,557
2020-08-31,491
2020-09-01,446
2020-09-02,456
2020-09-03,400
2020-09-04,459
2020-09-05,439
2020-09-06,471
2020-09-07,444
2020-09-08,456
2020-09-09,415
2020-09-10,426
2020-09-11,389
2020-09-12,413
2020-09-13,533
2020-09-14,427
2020-09-15,446
2020-09-16,301
2020-09-17,363
2020-09-18,991
2020-09-19,636
2020-09-20,460
2020-09-21,571
2020-09-22,581
2020-09-23,489
2020-09-24,425
2020-09-25,445
2020-09-26,466
2020-09-27,488
2020-09-28,440
2020-09-29,472
2020-09-30,451
2020-10-01,392
2020-10-02,439
2020-10-03,520
2020-10-04,575
2020-10-05,436
2020-10-06,418
2020-10-07,373
2020-10-08,399
2020-10-09,337
2020-10-10,443
2020-10-11,553
2020-10-12,649
2020-10-13,477
2020-10-14,505
2020-10-15,438
2020-10-16,420
2020-10-17,463
2020-10-18,497
2020-10-19,436
2020-10-20,424
2020-10-21,331
2020-10-22,326
2020-10-23,254
2020-10-24,387
2020-10-25,329
2020-10-26,362
2020-10-27,355
2020-10-28,356
2020-10-29,347
2020-10-30,455
2020-10-31,450
2020-11-01,469
2020-11-02,599
2020-11-03,451
2020-11-04,759
2020-11-05,516
2020-11-06,516
2020-11-07,417
2020-11-08,529
2020-11-09,441
2020-11-10,474
2020-11-11,380
2020-11-12,424
2020-11-13,357
2020-11-14,344
2020-11-15,328
2020-11-16,354
2020-11-17,359
2020-11-18,340
2020-11-19,354
2020-11-20,328
2020-11-21,364
2020-11-22,465
2020-11-23,347
2020-11-24,358
2020-11-25,292
2020-11-26,327
2020-11-27,308
2020-11-28,318
