created_at,id
2020-01-01,20
2020-01-02,34
2020-01-03,30
2020-01-04,24
2020-01-05,31
2020-01-06,48
2020-01-07,32
2020-01-08,29
2020-01-09,30
2020-01-10,25
2020-01-11,22
2020-01-12,28
2020-01-13,30
2020-01-14,45
2020-01-15,45
2020-01-16,28
2020-01-17,21
2020-01-18,17
2020-01-19,12
2020-01-20,36
2020-01-21,84
2020-01-22,71
2020-01-23,93
2020-01-24,86
2020-01-25,231
2020-01-26,202
2020-01-27,162
2020-01-28,258
2020-01-29,299
2020-01-30,337
2020-01-31,288
2020-02-01,227
2020-02-02,184
2020-02-03,132
2020-02-04,129
2020-02-05,126
2020-02-06,139
2020-02-07,134
2020-02-08,146
2020-02-09,143
2020-02-10,96
2020-02-11,109
2020-02-12,111
2020-02-13,117
2020-02-14,85
2020-02-15,82
2020-02-16,94
2020-02-17,108
2020-02-18,104
2020-02-19,84
2020-02-20,69
2020-02-21,95
2020-02-22,90
2020-02-23,120
2020-02-24,186
2020-02-25,234
2020-02-26,244
2020-02-27,360
2020-02-28,348
2020-02-29,336
2020-03-01,328
2020-03-02,445
2020-03-03,632
2020-03-04,795
2020-03-05,546
2020-03-06,453
2020-03-07,584
2020-03-08,578
2020-03-09,646
2020-03-10,832
2020-03-11,959
2020-03-12,1834
2020-03-13,2503
2020-03-14,1907
2020-03-15,2338
2020-03-16,2177
2020-03-17,2594
2020-03-18,2244
2020-03-19,2196
2020-03-20,2432
2020-03-21,2444
2020-03-22,3354
2020-03-23,2539
2020-03-24,2719
2020-03-25,2211
2020-03-26,2274
2020-03-27,2381
2020-03-28,2355
2020-03-29,2135
2020-03-30,2002
2020-03-31,1968
2020-04-01,1782
2020-04-02,1653
2020-04-03,1599
2020-04-04,1575
2020-04-05,1599
2020-04-06,1544
2020-04-07,1302
2020-04-08,1394
2020-04-09,1322
2020-04-10,1248
2020-04-11,1215
2020-04-12,1332
2020-04-13,1223
2020-04-14,1128
2020-04-15,1084
2020-04-16,1239
2020-04-17,1107
2020-04-18,1272
2020-04-19,1015
2020-04-20,1099
2020-04-21,1019
2020-04-22,982
2020-04-23,944
2020-04-24,1055
2020-04-25,945
2020-04-26,1146
2020-04-27,993
2020-04-28,967
2020-04-29,1004
2020-04-30,875
2020-05-01,852
2020-05-02,778
2020-05-03,868
2020-05-04,880
2020-05-05,845
2020-05-06,746
2020-05-07,810
2020-05-08,818
2020-05-09,729
2020-05-10,828
2020-05-11,840
2020-05-12,724
2020-05-13,674
2020-05-14,623
2020-05-15,662
2020-05-16,587
2020-05-17,613
2020-05-18,651
2020-05-19,644
2020-05-20,673
2020-05-21,582
2020-05-22,528
2020-05-23,500
2020-05-24,535
2020-05-25,577
2020-05-26,604
2020-05-27,517
2020-05-28,520
2020-05-29,436
2020-05-30,396
2020-05-31,428
2020-06-01,397
2020-06-02,391
2020-06-03,367
2020-06-04,457
2020-06-05,530
2020-06-06,479
2020-06-07,404
2020-06-08,382
2020-06-09,373
2020-06-10,337
2020-06-11,420
2020-06-12,359
2020-06-13,333
2020-06-14,348
2020-06-15,324
2020-06-16,378
2020-06-17,371
2020-06-18,407
2020-06-19,349
2020-06-20,535
2020-06-21,473
2020-06-22,466
2020-06-23,504
2020-06-24,464
2020-06-25,500
2020-06-26,433
2020-06-27,453
2020-06-28,472
