created_at,id
2019-12-15,139
2019-12-22,214
2019-12-29,198
2020-01-05,803
2020-01-12,1755
2020-01-19,949
2020-01-26,694
2020-02-02,670
2020-02-09,2036
2020-02-16,4033
2020-02-23,11019
2020-03-01,17441
2020-03-08,16614
2020-03-15,12178
2020-03-22,9357
2020-03-29,8068
2020-04-05,7190
2020-04-12,6337
2020-04-19,5656
2020-04-26,4723
2020-05-03,4113
2020-05-10,3478
2020-05-17,3025
2020-05-24,2552
2020-05-31,2837
2020-06-07,3292
2020-06-14,4302
2020-06-21,6056
2020-06-28,5620
2020-07-05,5384
2020-07-12,6048
2020-07-19,5557
2020-07-26,4529
2020-08-02,4189
2020-08-09,3600
2020-08-16,4474
2020-08-23,4083
2020-08-30,3162
2020-09-06,3076
2020-09-13,3624
2020-09-20,3465
2020-09-27,3289
2020-10-04,2959
2020-10-11,3449
2020-10-18,2487
2020-10-25,2794
2020-11-01,3787
2020-11-08,2748
2020-11-15,2564
2020-11-22,2203
2020-11-29,4132
2020-12-06,3161
2020-12-13,4466
2020-12-20,3834
2020-12-27,3019
2021-01-03,2243
2021-01-10,2714
2021-01-17,3181
2021-01-24,4176
2021-01-31,2778
2021-02-07,1921
2021-02-14,1320
2021-02-21,1662
2021-02-28,1609
2021-03-07,1648
2021-03-14,2627
2021-03-21,2451
2021-03-28,1971
2021-04-04,2335
2021-04-11,2469
2021-04-18,2364
2021-04-25,1869
2021-05-02,2173
2021-05-09,5390
2021-05-16,4759
2021-05-23,3005
2021-05-30,2770
2021-06-06,5610
2021-06-13,7223
2021-06-20,5909
2021-06-27,7806
2021-07-04,8876
2021-07-11,6383
2021-07-18,7804
2021-07-25,7204
2021-08-01,8092
2021-08-08,6746
2021-08-15,6450
2021-08-22,4881
2021-08-29,3707
2021-09-05,3760
2021-09-12,3904
2021-09-19,3546
2021-09-26,3440
2021-10-03,2896
2021-10-10,2172
2021-10-17,1662
2021-10-24,1682
2021-10-31,1783
2021-11-07,2137
2021-11-14,1947
2021-11-21,1526
2021-11-28,3145
2021-12-05,3426
2021-12-12,3963
2021-12-19,4713
2021-12-26,2871
2022-01-02,2549
2022-01-09,1660
2022-01-16,1514
2022-01-23,1302
2022-01-30,1395
2022-02-06,1232
2022-02-13,1376
2022-02-20,1279
2022-02-27,1222
2022-03-06,1326
2022-03-13,1250
2022-03-20,1236
2022-03-27,1146
2022-04-03,1337
2022-04-10,1331
2022-04-17,1210
2022-04-24,1318
2022-05-01,1462
2022-05-08,1032
2022-05-15,1057
2022-05-22,1058
2022-05-29,1152
2022-06-05,1036
2022-06-12,1322
2022-06-19,1470
2022-06-26,1917
2022-07-03,1771
2022-07-10,1305
2022-07-17,1072
2022-07-24,914
2022-07-31,1054
2022-08-07,932
2022-08-14,1130
2022-08-21,842
2022-08-28,763
2022-09-04,789
2022-09-11,1091
2022-09-18,961
