created_at,id
2020-01-12,139
2020-01-19,214
2020-01-26,198
2020-02-02,803
2020-02-09,1755
2020-02-16,949
2020-02-23,694
2020-03-01,670
2020-03-08,2036
2020-03-15,4033
2020-03-22,11019
2020-03-29,17441
2020-04-05,16614
2020-04-12,12178
2020-04-19,9357
2020-04-26,8068
2020-05-03,7190
2020-05-10,6337
2020-05-17,5656
2020-05-24,4723
2020-05-31,4113
2020-06-07,3478
2020-06-14,3025
2020-06-21,2552
2020-06-28,2837
2020-07-05,3292
2020-07-12,4302
2020-07-19,6056
2020-07-26,5620
2020-08-02,5384
2020-08-09,6048
2020-08-16,5557
2020-08-23,4529
2020-08-30,4189
2020-09-06,3600
2020-09-13,4474
2020-09-20,4083
2020-09-27,3162
2020-10-04,3076
2020-10-11,3624
2020-10-18,3465
2020-10-25,3289
2020-11-01,2959
2020-11-08,3449
2020-11-15,2487
2020-11-22,2794
2020-11-29,3787
2020-12-06,2748
2020-12-13,2564
2020-12-20,2203
2020-12-27,4132
2021-01-03,3161
2021-01-10,4466
2021-01-17,3834
2021-01-24,3019
2021-01-31,2243
2021-02-07,2714
2021-02-14,3181
2021-02-21,4176
2021-02-28,2778
2021-03-07,1921
2021-03-14,1320
2021-03-21,1662
2021-03-28,1609
2021-04-04,1648
2021-04-11,2627
2021-04-18,2451
2021-04-25,1971
2021-05-02,2335
2021-05-09,2469
2021-05-16,2364
2021-05-23,1869
2021-05-30,2173
2021-06-06,5390
2021-06-13,4759
2021-06-20,3005
2021-06-27,2770
2021-07-04,5610
2021-07-11,7223
2021-07-18,5909
2021-07-25,7806
2021-08-01,8876
2021-08-08,6383
2021-08-15,7804
2021-08-22,7204
2021-08-29,8092
2021-09-05,6746
2021-09-12,6450
2021-09-19,4881
2021-09-26,3707
2021-10-03,3760
2021-10-10,3904
2021-10-17,3546
2021-10-24,3440
2021-10-31,2896
2021-11-07,2172
2021-11-14,1662
2021-11-21,1682
2021-11-28,1783
2021-12-05,2137
2021-12-12,1947
2021-12-19,1526
2021-12-26,3145
2022-01-02,3426
2022-01-09,3963
2022-01-16,4713
2022-01-23,2871
2022-01-30,2549
2022-02-06,1660
2022-02-13,1514
2022-02-20,1302
2022-02-27,1395
2022-03-06,1232
2022-03-13,1376
2022-03-20,1279
2022-03-27,1222
2022-04-03,1326
2022-04-10,1250
2022-04-17,1236
2022-04-24,1146
2022-05-01,1337
2022-05-08,1331
2022-05-15,1210
2022-05-22,1318
2022-05-29,1462
2022-06-05,1032
2022-06-12,1057
2022-06-19,1058
2022-06-26,1152
2022-07-03,1036
2022-07-10,1322
2022-07-17,1470
2022-07-24,1917
2022-07-31,1771
2022-08-07,1305
2022-08-14,1072
2022-08-21,914
2022-08-28,1054
2022-09-04,932
2022-09-11,1130
2022-09-18,842
2022-09-25,763
2022-10-02,789
2022-10-09,1091
2022-10-16,961
