created_at,id
2019-12-11,41
2019-12-12,43
2019-12-13,54
2019-12-14,49
2019-12-15,48
2019-12-16,52
2019-12-17,41
2019-12-18,70
2019-12-19,78
2019-12-20,67
2019-12-21,45
2019-12-22,43
2019-12-23,45
2019-12-24,65
2019-12-25,86
2019-12-26,87
2019-12-27,83
2019-12-28,42
2019-12-29,63
2019-12-30,88
2019-12-31,156
2020-01-01,154
2020-01-02,164
2020-01-03,189
2020-01-04,337
2020-01-05,470
2020-01-06,378
2020-01-07,420
2020-01-08,395
2020-01-09,418
2020-01-10,406
2020-01-11,242
2020-01-12,226
2020-01-13,213
2020-01-14,216
2020-01-15,257
2020-01-16,213
2020-01-17,244
2020-01-18,211
2020-01-19,158
2020-01-20,163
2020-01-21,177
2020-01-22,201
2020-01-23,174
2020-01-24,148
2020-01-25,130
2020-01-26,105
2020-01-27,165
2020-01-28,164
2020-01-29,161
2020-01-30,124
2020-01-31,171
2020-02-01,123
2020-02-02,164
2020-02-03,198
2020-02-04,276
2020-02-05,429
2020-02-06,519
2020-02-07,638
2020-02-08,583
2020-02-09,524
2020-02-10,562
2020-02-11,623
2020-02-12,692
2020-02-13,794
2020-02-14,867
2020-02-15,931
2020-02-16,881
2020-02-17,1265
2020-02-18,1550
2020-02-19,2170
2020-02-20,5132
2020-02-21,5850
2020-02-22,4612
2020-02-23,4701
2020-02-24,6259
2020-02-25,6569
2020-02-26,6296
2020-02-27,6154
2020-02-28,6054
2020-02-29,5847
2020-03-01,5912
2020-03-02,5865
2020-03-03,5493
2020-03-04,5292
2020-03-05,5042
2020-03-06,5018
2020-03-07,4680
2020-03-08,4546
2020-03-09,4385
2020-03-10,4341
2020-03-11,4231
2020-03-12,4029
2020-03-13,4296
2020-03-14,4038
2020-03-15,3644
2020-03-16,3635
2020-03-17,3721
2020-03-18,3531
2020-03-19,3523
2020-03-20,3411
2020-03-21,3129
2020-03-22,2767
2020-03-23,2908
2020-03-24,3249
2020-03-25,3194
2020-03-26,3151
2020-03-27,3180
2020-03-28,2825
2020-03-29,2845
2020-03-30,2457
2020-03-31,2393
2020-04-01,2673
2020-04-02,2597
2020-04-03,2756
2020-04-04,2253
2020-04-05,2156
2020-04-06,2284
2020-04-07,2418
2020-04-08,2453
2020-04-09,2348
2020-04-10,2348
2020-04-11,1994
2020-04-12,1763
2020-04-13,1994
2020-04-14,2064
2020-04-15,2146
2020-04-16,2064
2020-04-17,1936
2020-04-18,1904
2020-04-19,1533
2020-04-20,1752
2020-04-21,2044
2020-04-22,1994
2020-04-23,1914
2020-04-24,1904
2020-04-25,1708
2020-04-26,1610
2020-04-27,1390
2020-04-28,1608
2020-04-29,1760
2020-04-30,1894
2020-05-01,1912
2020-05-02,1628
2020-05-03,1868
2020-05-04,1650
2020-05-05,1714
2020-05-06,1694
2020-05-07,1580
2020-05-08,1428
2020-05-09,1236
2020-05-10,1125
2020-05-11,1147
2020-05-12,942
2020-05-13,1135
2020-05-14,1095
2020-05-15,1145
2020-05-16,1029
2020-05-17,825
2020-05-18,1111
2020-05-19,1134
2020-05-20,1095
2020-05-21,1124
2020-05-22,1204
2020-05-23,968
2020-05-24,846
2020-05-25,1053
2020-05-26,1252
2020-05-27,1254
2020-05-28,1156
2020-05-29,1289
2020-05-30,1213
2020-05-31,925
2020-06-01,1060
2020-06-02,1179
2020-06-03,1276
2020-06-04,1375
2020-06-05,1350
2020-06-06,1264
2020-06-07,1077
2020-06-08,1183
2020-06-09,1476
2020-06-10,1229
2020-06-11,1214
2020-06-12,1250
2020-06-13,1150
2020-06-14,1108
2020-06-15,1427
2020-06-16,1638
2020-06-17,1619
2020-06-18,1342
2020-06-19,1322
2020-06-20,1185
2020-06-21,1234
2020-06-22,1321
2020-06-23,1421
2020-06-24,1343
2020-06-25,1482
2020-06-26,1399
2020-06-27,1235
2020-06-28,1143
2020-06-29,1320
2020-06-30,1510
2020-07-01,1462
2020-07-02,1232
2020-07-03,1218
2020-07-04,1035
2020-07-05,939
2020-07-06,1204
2020-07-07,1245
2020-07-08,1258
2020-07-09,1330
2020-07-10,1412
2020-07-11,1241
2020-07-12,1034
2020-07-13,1072
2020-07-14,1162
2020-07-15,1261
2020-07-16,1232
2020-07-17,1218
2020-07-18,1064
2020-07-19,1134
2020-07-20,1179
2020-07-21,1195
2020-07-22,1068
2020-07-23,1171
2020-07-24,1140
2020-07-25,983
2020-07-26,920
2020-07-27,1185
2020-07-28,1153
2020-07-29,1065
2020-07-30,1019
2020-07-31,1015
2020-08-01,943
2020-08-02,969
2020-08-03,1171
2020-08-04,1009
2020-08-05,925
2020-08-06,972
2020-08-07,976
2020-08-08,811
2020-08-09,825
2020-08-10,1014
2020-08-11,1130
2020-08-12,1062
2020-08-13,1252
2020-08-14,1040
2020-08-15,792
2020-08-16,795
2020-08-17,858
2020-08-18,1100
2020-08-19,1216
2020-08-20,1152
2020-08-21,1056
2020-08-22,933
2020-08-23,954
2020-08-24,1193
2020-08-25,1139
2020-08-26,1208
2020-08-27,1144
2020-08-28,1295
2020-08-29,1012
2020-08-30,785
2020-08-31,1055
2020-09-01,1154
2020-09-02,1214
2020-09-03,1089
2020-09-04,1068
2020-09-05,936
2020-09-06,781
2020-09-07,1139
2020-09-08,1169
2020-09-09,993
2020-09-10,1008
2020-09-11,2326
2020-09-12,1576
2020-09-13,1173
2020-09-14,1525
2020-09-15,1558
2020-09-16,1180
2020-09-17,1311
2020-09-18,1363
2020-09-19,1194
2020-09-20,920
2020-09-21,833
2020-09-22,928
2020-09-23,1160
2020-09-24,908
2020-09-25,949
2020-09-26,925
2020-09-27,823
2020-09-28,1025
2020-09-29,990
2020-09-30,1046
2020-10-01,1074
2020-10-02,1121
2020-10-03,1044
2020-10-04,947
2020-10-05,1217
2020-10-06,1129
2020-10-07,1293
2020-10-08,1161
2020-10-09,1235
2020-10-10,1196
2020-10-11,1048
2020-10-12,970
2020-10-13,1028
2020-10-14,819
2020-10-15,939
2020-10-16,945
2020-10-17,1173
2020-10-18,962
2020-10-19,1179
2020-10-20,1267
2020-10-21,1123
2020-10-22,1417
2020-10-23,1710
2020-10-24,1449
2020-10-25,1357
2020-10-26,1428
2020-10-27,1405
2020-10-28,1438
2020-10-29,1353
2020-10-30,1819
2020-10-31,1803
2020-11-01,1519
2020-11-02,1608
2020-11-03,1595
2020-11-04,1762
2020-11-05,1595
2020-11-06,1436
2020-11-07,1297
2020-11-08,1293
2020-11-09,1187
2020-11-10,1148
2020-11-11,1164
2020-11-12,1385
2020-11-13,1260
2020-11-14,1285
2020-11-15,1212
2020-11-16,1236
2020-11-17,1510
