created_at,id
2019-12-31,4677
2020-01-31,6793
2020-02-29,118907
2020-03-31,92095
2020-04-30,55159
2020-05-31,34182
2020-06-30,40227
2020-07-31,33126
2020-08-31,31714
2020-09-30,36138
2020-10-31,39924
2020-11-30,37950
2020-12-31,34048
2021-01-31,24218
2021-02-28,27975
2021-03-31,42765
2021-04-30,31015
2021-05-31,20865
2021-06-30,20938
2021-07-31,25060
2021-08-31,22696
2021-09-30,14292
2021-10-31,11730
2021-11-30,20630
2021-12-31,18052
2022-01-31,11708
2022-02-28,9518
2022-03-31,8643
2022-04-30,7178
2022-05-31,7233
2022-06-30,8630
2022-07-31,7259
2022-08-31,7720
2022-09-30,2164
