created_at,id
2019-12-30,287
2020-01-06,389
2020-01-13,514
2020-01-20,1848
2020-01-27,2320
2020-02-03,1462
2020-02-10,1100
2020-02-17,1105
2020-02-24,3531
2020-03-02,6053
2020-03-09,30274
2020-03-16,42697
2020-03-23,34456
2020-03-30,28214
2020-04-06,22990
2020-04-13,20901
2020-04-20,17112
2020-04-27,15318
2020-05-04,13399
2020-05-11,12564
2020-05-18,12320
2020-05-25,9924
2020-06-01,7282
2020-06-08,7424
2020-06-15,8149
2020-06-22,8704
2020-06-29,8854
2020-07-06,9661
2020-07-13,9343
2020-07-20,8600
2020-07-27,8592
2020-08-03,8250
2020-08-10,7662
2020-08-17,7335
2020-08-24,6532
2020-08-31,6929
2020-09-07,7604
2020-09-14,7638
2020-09-21,7381
2020-09-28,9770
2020-10-05,8359
2020-10-12,6718
2020-10-19,7439
2020-10-26,8032
2020-11-02,7045
2020-11-09,9751
2020-11-16,10945
2020-11-23,10165
2020-11-30,8690
2020-12-07,9351
2020-12-14,8877
2020-12-21,6883
2020-12-28,8837
2021-01-04,8190
2021-01-11,8150
2021-01-18,6796
2021-01-25,7106
2021-02-01,6664
2021-02-08,6097
2021-02-15,5624
2021-02-22,5706
2021-03-01,6356
2021-03-08,6182
2021-03-15,6281
2021-03-22,5966
2021-03-29,9080
2021-04-05,9784
2021-04-12,10916
2021-04-19,10215
2021-04-26,8722
2021-05-03,7949
2021-05-10,7433
2021-05-17,6349
2021-05-24,5767
2021-05-31,4854
2021-06-07,4936
2021-06-14,4997
2021-06-21,4765
2021-06-28,4145
2021-07-05,4570
2021-07-12,4887
2021-07-19,4762
2021-07-26,5080
2021-08-02,5344
2021-08-09,6018
2021-08-16,5653
2021-08-23,6015
2021-08-30,6193
2021-09-06,5100
2021-09-13,5679
2021-09-20,4588
2021-09-27,4029
2021-10-04,3511
2021-10-11,3227
2021-10-18,3170
2021-10-25,2671
2021-11-01,2840
2021-11-08,2708
2021-11-15,2409
2021-11-22,2940
2021-11-29,3099
2021-12-06,3151
2021-12-13,5631
2021-12-20,5305
2021-12-27,6544
2022-01-03,5156
2022-01-10,3504
2022-01-17,3204
2022-01-24,3578
2022-01-31,3324
2022-02-07,3834
2022-02-14,2666
2022-02-21,1884
2022-02-28,2123
2022-03-07,2499
2022-03-14,2171
2022-03-21,1899
2022-03-28,1884
2022-04-04,2308
2022-04-11,2032
2022-04-18,2014
2022-04-25,1709
2022-05-02,1659
2022-05-09,1692
2022-05-16,1647
2022-05-23,1439
2022-05-30,1576
2022-06-06,1789
2022-06-13,1751
2022-06-20,1645
2022-06-27,1679
2022-07-04,1934
2022-07-11,2164
2022-07-18,2011
2022-07-25,1851
2022-08-01,1812
2022-08-08,1500
2022-08-15,1586
2022-08-22,1588
2022-08-29,1745
2022-09-05,1703
2022-09-12,1732
2022-09-19,1920
2022-09-26,1811
2022-10-03,1472
