created_at,id
2020-01-26,235
2020-02-02,396
2020-02-09,471
2020-02-16,1558
2020-02-23,2485
2020-03-01,1512
2020-03-08,1098
2020-03-15,1072
2020-03-22,3167
2020-03-29,5350
2020-04-05,25280
2020-04-12,43091
2020-04-19,35936
2020-04-26,28964
2020-05-03,23717
2020-05-10,21352
2020-05-17,17285
2020-05-24,15608
2020-05-31,13641
2020-06-07,12926
2020-06-14,12060
2020-06-21,10427
2020-06-28,7318
2020-07-05,7482
2020-07-12,8142
2020-07-19,8581
2020-07-26,8610
2020-08-02,9767
2020-08-09,9344
2020-08-16,8716
2020-08-23,8724
2020-08-30,8143
2020-09-06,7656
2020-09-13,7349
2020-09-20,6689
2020-09-27,7085
2020-10-04,7269
2020-10-11,7776
2020-10-18,7297
2020-10-25,9384
2020-11-01,9051
2020-11-08,6526
2020-11-15,7247
2020-11-22,8279
2020-11-29,6836
2020-12-06,9502
2020-12-13,10765
2020-12-20,10586
2020-12-27,8641
2021-01-03,9282
2021-01-10,8624
2021-01-17,7453
2021-01-24,8667
2021-01-31,8338
2021-02-07,8257
2021-02-14,6706
2021-02-21,7217
2021-02-28,6591
2021-03-07,6253
2021-03-14,5663
2021-03-21,5711
2021-03-28,6388
2021-04-04,6061
2021-04-11,6187
2021-04-18,5902
2021-04-25,8786
2021-05-02,9704
2021-05-09,10601
2021-05-16,10599
2021-05-23,8672
2021-05-30,8227
2021-06-06,7596
2021-06-13,6515
2021-06-20,5830
2021-06-27,4888
2021-07-04,4851
2021-07-11,5050
2021-07-18,4823
2021-07-25,4095
2021-08-01,4605
2021-08-08,4874
2021-08-15,4802
2021-08-22,5048
2021-08-29,5239
2021-09-05,6057
2021-09-12,5439
2021-09-19,6170
2021-09-26,6393
2021-10-03,4888
2021-10-10,5700
2021-10-17,4766
2021-10-24,4060
2021-10-31,3691
2021-11-07,3136
2021-11-14,3261
2021-11-21,2702
2021-11-28,2843
2021-12-05,2667
2021-12-12,2451
2021-12-19,2847
2021-12-26,3157
2022-01-02,3001
2022-01-09,5297
2022-01-16,5444
2022-01-23,6106
2022-01-30,5825
2022-02-06,3501
2022-02-13,3047
2022-02-20,3709
2022-02-27,3354
2022-03-06,3827
2022-03-13,2853
2022-03-20,1911
2022-03-27,2133
2022-04-03,2423
2022-04-10,2062
2022-04-17,2102
2022-04-24,1875
2022-05-01,2255
2022-05-08,2082
2022-05-15,2009
2022-05-22,1728
2022-05-29,1697
2022-06-05,1675
2022-06-12,1649
2022-06-19,1458
2022-06-26,1571
2022-07-03,1685
2022-07-10,1849
2022-07-17,1620
2022-07-24,1644
2022-07-31,1960
2022-08-07,2077
2022-08-14,2111
2022-08-21,1817
2022-08-28,1815
2022-09-04,1548
2022-09-11,1614
2022-09-18,1592
2022-09-25,1666
2022-10-02,1711
2022-10-09,1765
2022-10-16,1743
2022-10-23,1974
2022-10-30,1715
