created_at,id
2019-12-18,14
2019-12-19,25
2019-12-20,21
2019-12-21,33
2019-12-22,57
2019-12-23,85
2019-12-24,54
2019-12-25,41
2019-12-26,72
2019-12-27,48
2019-12-28,25
2019-12-29,27
2019-12-30,42
2019-12-31,27
2020-01-01,16
2020-01-02,32
2020-01-03,31
2020-01-04,21
2020-01-05,41
2020-01-06,33
2020-01-07,73
2020-01-08,68
2020-01-09,115
2020-01-10,116
2020-01-11,134
2020-01-12,149
2020-01-13,176
2020-01-14,303
2020-01-15,327
2020-01-16,462
2020-01-17,464
2020-01-18,317
2020-01-19,1226
2020-01-20,352
2020-01-21,351
2020-01-22,206
2020-01-23,231
2020-01-24,256
2020-01-25,228
2020-01-26,209
2020-01-27,241
2020-01-28,237
2020-01-29,203
2020-01-30,246
2020-01-31,182
2020-02-01,163
2020-02-02,275
2020-02-03,211
2020-02-04,169
2020-02-05,129
2020-02-06,146
2020-02-07,127
2020-02-08,164
2020-02-09,195
2020-02-10,173
2020-02-11,193
2020-02-12,201
2020-02-13,259
2020-02-14,366
2020-02-15,327
2020-02-16,352
2020-02-17,515
2020-02-18,1113
2020-02-19,1784
2020-02-20,1511
2020-02-21,1071
2020-02-22,1004
2020-02-23,802
2020-02-24,1204
2020-02-25,1335
2020-02-26,1715
2020-02-27,2786
2020-02-28,3549
2020-02-29,3484
2020-03-01,3623
2020-03-02,4453
2020-03-03,5238
2020-03-04,5548
2020-03-05,8055
2020-03-06,7896
2020-03-07,11690
2020-03-08,18284
2020-03-09,12777
2020-03-10,16277
2020-03-11,12414
2020-03-12,13042
2020-03-13,11777
2020-03-14,13426
2020-03-15,11616
2020-03-16,10588
2020-03-17,10614
2020-03-18,9691
2020-03-19,9574
2020-03-20,9546
2020-03-21,8536
2020-03-22,12424
2020-03-23,9292
2020-03-24,9397
2020-03-25,9172
2020-03-26,8962
2020-03-27,9129
2020-03-28,9794
2020-03-29,9159
2020-03-30,8510
2020-03-31,11784
2020-04-01,8126
2020-04-02,8426
2020-04-03,7639
2020-04-04,7678
2020-04-05,7815
2020-04-06,7409
2020-04-07,7130
2020-04-08,7169
2020-04-09,6472
2020-04-10,7136
2020-04-11,7212
2020-04-12,7905
2020-04-13,6920
2020-04-14,6544
2020-04-15,5822
2020-04-16,5819
2020-04-17,8153
2020-04-18,7044
2020-04-19,7410
2020-04-20,7312
2020-04-21,6309
2020-04-22,5655
2020-04-23,5791
2020-04-24,5869
2020-04-25,5308
2020-04-26,5094
2020-04-27,5615
2020-04-28,7131
2020-04-29,4366
2020-04-30,4661
2020-05-01,4941
2020-05-02,5067
2020-05-03,6305
2020-05-04,5553
2020-05-05,4867
2020-05-06,4503
2020-05-07,4469
2020-05-08,4172
2020-05-09,4313
2020-05-10,5336
2020-05-11,4419
2020-05-12,4338
2020-05-13,4004
2020-05-14,3872
2020-05-15,3928
2020-05-16,4365
2020-05-17,4897
2020-05-18,3484
2020-05-19,3283
2020-05-20,3410
2020-05-21,3181
2020-05-22,3296
2020-05-23,3315
2020-05-24,3840
2020-05-25,3622
2020-05-26,3642
2020-05-27,3484
2020-05-28,3224
2020-05-29,3423
2020-05-30,3583
2020-05-31,3148
2020-06-01,2849
2020-06-02,3109
2020-06-03,2527
2020-06-04,2247
2020-06-05,2242
2020-06-06,2211
2020-06-07,2193
2020-06-08,2726
2020-06-09,3346
2020-06-10,2537
2020-06-11,2338
2020-06-12,2368
2020-06-13,2459
2020-06-14,2634
2020-06-15,2984
2020-06-16,2738
2020-06-17,3212
2020-06-18,2170
2020-06-19,2156
2020-06-20,2522
2020-06-21,2435
2020-06-22,2831
2020-06-23,2460
2020-06-24,2987
2020-06-25,2277
2020-06-26,2844
2020-06-27,3634
2020-06-28,3529
2020-06-29,2862
2020-06-30,2613
2020-07-01,2390
