created_at,id
2020-01-22,14
2020-01-23,25
2020-01-24,21
2020-01-25,33
2020-01-26,57
2020-01-27,85
2020-01-28,54
2020-01-29,41
2020-01-30,72
2020-01-31,48
2020-02-01,25
2020-02-02,27
2020-02-03,42
2020-02-04,27
2020-02-05,16
2020-02-06,32
2020-02-07,31
2020-02-08,21
2020-02-09,41
2020-02-10,33
2020-02-11,73
2020-02-12,68
2020-02-13,115
2020-02-14,116
2020-02-15,134
2020-02-16,149
2020-02-17,176
2020-02-18,303
2020-02-19,327
2020-02-20,462
2020-02-21,464
2020-02-22,317
2020-02-23,1226
2020-02-24,352
2020-02-25,351
2020-02-26,206
2020-02-27,231
2020-02-28,256
2020-02-29,228
2020-03-01,209
2020-03-02,241
2020-03-03,237
2020-03-04,203
2020-03-05,246
2020-03-06,182
2020-03-07,163
2020-03-08,275
2020-03-09,211
2020-03-10,169
2020-03-11,129
2020-03-12,146
2020-03-13,127
2020-03-14,164
2020-03-15,195
2020-03-16,173
2020-03-17,193
2020-03-18,201
2020-03-19,259
2020-03-20,366
2020-03-21,327
2020-03-22,352
2020-03-23,515
2020-03-24,1113
2020-03-25,1784
2020-03-26,1511
2020-03-27,1071
2020-03-28,1004
2020-03-29,802
2020-03-30,1204
2020-03-31,1335
2020-04-01,1715
2020-04-02,2786
2020-04-03,3549
2020-04-04,3484
2020-04-05,3623
2020-04-06,4453
2020-04-07,5238
2020-04-08,5548
2020-04-09,8055
2020-04-10,7896
2020-04-11,11690
2020-04-12,18284
2020-04-13,12777
2020-04-14,16277
2020-04-15,12414
2020-04-16,13042
2020-04-17,11777
2020-04-18,13426
2020-04-19,11616
2020-04-20,10588
2020-04-21,10614
2020-04-22,9691
2020-04-23,9574
2020-04-24,9546
2020-04-25,8536
2020-04-26,12424
2020-04-27,9292
2020-04-28,9397
2020-04-29,9172
2020-04-30,8962
2020-05-01,9129
2020-05-02,9794
2020-05-03,9159
2020-05-04,8510
2020-05-05,11784
2020-05-06,8126
2020-05-07,8426
2020-05-08,7639
2020-05-09,7678
2020-05-10,7815
2020-05-11,7409
2020-05-12,7130
2020-05-13,7169
2020-05-14,6472
2020-05-15,7136
2020-05-16,7212
2020-05-17,7905
2020-05-18,6920
2020-05-19,6544
2020-05-20,5822
2020-05-21,5819
2020-05-22,8153
2020-05-23,7044
2020-05-24,7410
2020-05-25,7312
2020-05-26,6309
2020-05-27,5655
2020-05-28,5791
2020-05-29,5869
2020-05-30,5308
2020-05-31,5094
2020-06-01,5615
2020-06-02,7131
2020-06-03,4366
2020-06-04,4661
2020-06-05,4941
2020-06-06,5067
2020-06-07,6305
2020-06-08,5553
2020-06-09,4867
2020-06-10,4503
2020-06-11,4469
2020-06-12,4172
2020-06-13,4313
2020-06-14,5336
2020-06-15,4419
2020-06-16,4338
2020-06-17,4004
2020-06-18,3872
2020-06-19,3928
2020-06-20,4365
2020-06-21,4897
2020-06-22,3484
2020-06-23,3283
