created_at,id
2020-01-27,235
2020-02-03,309
2020-02-10,201
2020-02-17,831
2020-02-24,3451
2020-03-02,1722
2020-03-09,1517
2020-03-16,1103
2020-03-23,2213
2020-03-30,8489
2020-04-06,20945
2020-04-13,69488
2020-04-20,89140
2020-04-27,69677
2020-05-04,64123
2020-05-11,58877
2020-05-18,49944
2020-05-25,48104
2020-06-01,39641
2020-06-08,38024
2020-06-15,32079
2020-06-22,28888
2020-06-29,23947
2020-07-06,23353
2020-07-13,17255
2020-07-20,18666
2020-07-27,18064
2020-08-03,20593
2020-08-10,18303
2020-08-17,17395
2020-08-24,15594
2020-08-31,12520
2020-09-07,11364
2020-09-14,11951
2020-09-21,12368
2020-09-28,11059
2020-10-05,10063
2020-10-12,8034
2020-10-19,7070
2020-10-26,6616
2020-11-02,6262
2020-11-09,5401
2020-11-16,6213
2020-11-23,4683
2020-11-30,4596
2020-12-07,4332
2020-12-14,6105
2020-12-21,5590
2020-12-28,4876
2021-01-04,4452
2021-01-11,4680
2021-01-18,4448
2021-01-25,6994
2021-02-01,4845
2021-02-08,6047
2021-02-15,4203
2021-02-22,3559
2021-03-01,3150
2021-03-08,2828
2021-03-15,3890
2021-03-22,4407
2021-03-29,4071
2021-04-05,4207
2021-04-12,6218
2021-04-19,6511
2021-04-26,9339
2021-05-03,18497
2021-05-10,27156
2021-05-17,37617
2021-05-24,37242
2021-05-31,36434
2021-06-07,33743
2021-06-14,26974
2021-06-21,23767
2021-06-28,19191
2021-07-05,13413
2021-07-12,9995
2021-07-19,8886
2021-07-26,7773
2021-08-02,6399
2021-08-09,6612
2021-08-16,6007
2021-08-23,5692
2021-08-30,5076
2021-09-06,4332
2021-09-13,3507
2021-09-20,4030
2021-09-27,3948
2021-10-04,3395
2021-10-11,3582
2021-10-18,3337
2021-10-25,2338
2021-11-01,2155
2021-11-08,2074
2021-11-15,3941
2021-11-22,2208
2021-11-29,2094
2021-12-06,2044
2021-12-13,2305
2021-12-20,3104
2021-12-27,3622
2022-01-03,2308
2022-01-10,2576
2022-01-17,3875
2022-01-24,5455
2022-01-31,8244
2022-02-07,5906
2022-02-14,4232
2022-02-21,3134
2022-02-28,2441
2022-03-07,2187
2022-03-14,1801
2022-03-21,1885
2022-03-28,1517
2022-04-04,1886
2022-04-11,1799
2022-04-18,1895
2022-04-25,1537
2022-05-02,1611
2022-05-09,1650
2022-05-16,1603
2022-05-23,1702
2022-05-30,1329
2022-06-06,1393
2022-06-13,1187
2022-06-20,1229
2022-06-27,1585
2022-07-04,1317
2022-07-11,1414
2022-07-18,1477
2022-07-25,1278
2022-08-01,1102
2022-08-08,1751
2022-08-15,1250
2022-08-22,1068
2022-08-29,889
2022-09-05,1591
2022-09-12,962
2022-09-19,893
2022-09-26,1207
2022-10-03,991
2022-10-10,997
2022-10-17,1580
2022-10-24,890
2022-10-31,629
