created_at,id
2019-12-21,93
2019-12-28,382
2020-01-04,196
2020-01-11,580
2020-01-18,2198
2020-01-25,2850
2020-02-01,1481
2020-02-08,1221
2020-02-15,1714
2020-02-22,7350
2020-02-29,14875
2020-03-07,46503
2020-03-14,97997
2020-03-21,70165
2020-03-28,68170
2020-04-04,61322
2020-04-11,50343
2020-04-18,48207
2020-04-25,43654
2020-05-02,36875
2020-05-09,34182
2020-05-16,30262
2020-05-23,24866
2020-05-30,24818
2020-06-06,18333
2020-06-13,17967
2020-06-20,18416
2020-06-27,19468
2020-07-04,19142
2020-07-11,18162
2020-07-18,15614
2020-07-25,13363
2020-08-01,12389
2020-08-08,11582
2020-08-15,12401
2020-08-22,10961
2020-08-29,10552
2020-09-05,8836
2020-09-12,7299
2020-09-19,6631
2020-09-26,6363
2020-10-03,5630
2020-10-10,6309
2020-10-17,4712
2020-10-24,4550
2020-10-31,4420
2020-11-07,5644
2020-11-14,5886
2020-11-21,5076
2020-11-28,4344
2020-12-05,4493
2020-12-12,4913
2020-12-19,5390
2020-12-26,6353
2021-01-02,5883
2021-01-09,4484
2021-01-16,3554
2021-01-23,3476
2021-01-30,2860
2021-02-06,3248
2021-02-13,4121
2021-02-20,4596
2021-02-27,4069
2021-03-06,5633
2021-03-13,6387
2021-03-20,7917
2021-03-27,16236
2021-04-03,22887
2021-04-10,35761
2021-04-17,40018
2021-04-24,34761
2021-05-01,35602
2021-05-08,27955
2021-05-15,24699
2021-05-22,20413
2021-05-29,16300
2021-06-05,9864
2021-06-12,9294
2021-06-19,8367
2021-06-26,6439
2021-07-03,6787
2021-07-10,6412
2021-07-17,5661
2021-07-24,5106
2021-07-31,4318
2021-08-07,3907
2021-08-14,3952
2021-08-21,3896
2021-08-28,3465
2021-09-04,3707
2021-09-11,3379
2021-09-18,2499
2021-09-25,2225
2021-10-02,1998
2021-10-09,3802
2021-10-16,2374
2021-10-23,2208
2021-10-30,2060
2021-11-06,2233
2021-11-13,2546
2021-11-20,3830
2021-11-27,2615
2021-12-04,2472
2021-12-11,3187
2021-12-18,5123
2021-12-25,7769
2022-01-01,6410
2022-01-08,5094
2022-01-15,3211
2022-01-22,2530
2022-01-29,2416
2022-02-05,1799
2022-02-12,1858
2022-02-19,1585
2022-02-26,1760
2022-03-05,1843
2022-03-12,1972
2022-03-19,1523
2022-03-26,1668
2022-04-02,1563
2022-04-09,1699
2022-04-16,1657
2022-04-23,1426
2022-04-30,1439
2022-05-07,1120
2022-05-14,1195
2022-05-21,1541
2022-05-28,1347
2022-06-04,1411
2022-06-11,1504
2022-06-18,1341
2022-06-25,1074
2022-07-02,1167
2022-07-09,1858
2022-07-16,1055
2022-07-23,926
2022-07-30,1583
2022-08-06,977
2022-08-13,946
2022-08-20,1079
2022-08-27,1080
2022-09-03,948
2022-09-10,1638
2022-09-17,785
2022-09-24,876
2022-10-01,104
