created_at,id
2020-01-04,93
2020-01-11,382
2020-01-18,196
2020-01-25,580
2020-02-01,2198
2020-02-08,2850
2020-02-15,1481
2020-02-22,1221
2020-02-29,1714
2020-03-07,7350
2020-03-14,14875
2020-03-21,46503
2020-03-28,97997
2020-04-04,70165
2020-04-11,68170
2020-04-18,61322
2020-04-25,50343
2020-05-02,48207
2020-05-09,43654
2020-05-16,36875
2020-05-23,34182
2020-05-30,30262
2020-06-06,24866
2020-06-13,24818
2020-06-20,18333
2020-06-27,17967
2020-07-04,18416
2020-07-11,19468
2020-07-18,19142
2020-07-25,18162
2020-08-01,15614
2020-08-08,13363
2020-08-15,12389
2020-08-22,11582
2020-08-29,12401
2020-09-05,10961
2020-09-12,10552
2020-09-19,8836
2020-09-26,7299
2020-10-03,6631
2020-10-10,6363
2020-10-17,5630
2020-10-24,6309
2020-10-31,4712
2020-11-07,4550
2020-11-14,4420
2020-11-21,5644
2020-11-28,5886
2020-12-05,5076
2020-12-12,4344
2020-12-19,4493
2020-12-26,4913
2021-01-02,5390
2021-01-09,6353
2021-01-16,5883
2021-01-23,4484
2021-01-30,3554
2021-02-06,3476
2021-02-13,2860
2021-02-20,3248
2021-02-27,4121
2021-03-06,4596
2021-03-13,4069
2021-03-20,5633
2021-03-27,6387
2021-04-03,7917
2021-04-10,16236
2021-04-17,22887
2021-04-24,35761
2021-05-01,40018
2021-05-08,34761
2021-05-15,35602
2021-05-22,27955
2021-05-29,24699
2021-06-05,20413
2021-06-12,16300
2021-06-19,9864
2021-06-26,9294
2021-07-03,8367
2021-07-10,6439
2021-07-17,6787
2021-07-24,6412
2021-07-31,5661
2021-08-07,5106
2021-08-14,4318
2021-08-21,3907
2021-08-28,3952
2021-09-04,3896
2021-09-11,3465
2021-09-18,3707
2021-09-25,3379
2021-10-02,2499
2021-10-09,2225
2021-10-16,1998
2021-10-23,3802
2021-10-30,2374
2021-11-06,2208
2021-11-13,2060
2021-11-20,2233
2021-11-27,2546
2021-12-04,3830
2021-12-11,2615
2021-12-18,2472
2021-12-25,3187
2022-01-01,5123
2022-01-08,7769
2022-01-15,6410
2022-01-22,5094
2022-01-29,3211
2022-02-05,2530
2022-02-12,2416
2022-02-19,1799
2022-02-26,1858
2022-03-05,1585
2022-03-12,1760
2022-03-19,1843
2022-03-26,1972
2022-04-02,1523
2022-04-09,1668
2022-04-16,1563
2022-04-23,1699
2022-04-30,1657
2022-05-07,1426
2022-05-14,1439
2022-05-21,1120
2022-05-28,1195
2022-06-04,1541
2022-06-11,1347
2022-06-18,1411
2022-06-25,1504
2022-07-02,1341
2022-07-09,1074
2022-07-16,1167
2022-07-23,1858
2022-07-30,1055
2022-08-06,926
2022-08-13,1583
2022-08-20,977
2022-08-27,946
2022-09-03,1079
2022-09-10,1080
2022-09-17,948
2022-09-24,1638
2022-10-01,785
2022-10-08,876
2022-10-15,104
