created_at,id
2020-01-12,150
2020-01-19,352
2020-01-26,210
2020-02-02,688
2020-02-09,3275
2020-02-16,1833
2020-02-23,1547
2020-03-01,1141
2020-03-08,1871
2020-03-15,7800
2020-03-22,17696
2020-03-29,61164
2020-04-05,91329
2020-04-12,70973
2020-04-19,64905
2020-04-26,59978
2020-05-03,50433
2020-05-10,47712
2020-05-17,41338
2020-05-24,38086
2020-05-31,33213
2020-06-07,29823
2020-06-14,23809
2020-06-21,24126
2020-06-28,17378
2020-07-05,18408
2020-07-12,18217
2020-07-19,20562
2020-07-26,18556
2020-08-02,17573
2020-08-09,15946
2020-08-16,12766
2020-08-23,11708
2020-08-30,11950
2020-09-06,12173
2020-09-13,11182
2020-09-20,10248
2020-09-27,8390
2020-10-04,7260
2020-10-11,6472
2020-10-18,6342
2020-10-25,5532
2020-11-01,6313
2020-11-08,4671
2020-11-15,4487
2020-11-22,4441
2020-11-29,5815
2020-12-06,5825
2020-12-13,4901
2020-12-20,4455
2020-12-27,4475
2021-01-03,4793
2021-01-10,6382
2021-01-17,5400
2021-01-24,6033
2021-01-31,4307
2021-02-07,3482
2021-02-14,3367
2021-02-21,2847
2021-02-28,3610
2021-03-07,3940
2021-03-14,4748
2021-03-21,3925
2021-03-28,5972
2021-04-04,6491
2021-04-11,8649
2021-04-18,17244
2021-04-25,24815
2021-05-02,37206
2021-05-09,38293
2021-05-16,35770
2021-05-23,34555
2021-05-30,27529
2021-06-06,24332
2021-06-13,19076
2021-06-20,15635
2021-06-27,9708
2021-07-04,9080
2021-07-11,8164
2021-07-18,6231
2021-07-25,6863
2021-08-01,6211
2021-08-08,5681
2021-08-15,5147
2021-08-22,4421
2021-08-29,3493
2021-09-05,4109
2021-09-12,3916
2021-09-19,3370
2021-09-26,3656
2021-10-03,3315
2021-10-10,2457
2021-10-17,2216
2021-10-24,1978
2021-10-31,4002
2021-11-07,2198
2021-11-14,2155
2021-11-21,2040
2021-11-28,2297
2021-12-05,2865
2021-12-12,3662
2021-12-19,2510
2021-12-26,2560
2022-01-02,3606
2022-01-09,5108
2022-01-16,7985
2022-01-23,6337
2022-01-30,4537
2022-02-06,3155
2022-02-13,2491
2022-02-20,2293
2022-02-27,1806
2022-03-06,1925
2022-03-13,1527
2022-03-20,1748
2022-03-27,1864
2022-04-03,1992
2022-04-10,1490
2022-04-17,1655
2022-04-24,1552
2022-05-01,1653
2022-05-08,1737
2022-05-15,1363
2022-05-22,1402
2022-05-29,1155
2022-06-05,1209
2022-06-12,1581
2022-06-19,1367
2022-06-26,1351
2022-07-03,1539
2022-07-10,1287
2022-07-17,1097
2022-07-24,1653
2022-07-31,1353
2022-08-07,1062
2022-08-14,892
2022-08-21,1614
2022-08-28,972
2022-09-04,931
2022-09-11,1112
2022-09-18,1035
2022-09-25,999
2022-10-02,1587
2022-10-09,862
2022-10-16,778
