created_at,id
2019-12-18,1
2019-12-19,6
2019-12-20,12
2019-12-21,2
2019-12-22,1
2019-12-23,5
2019-12-24,4
2019-12-25,3
2019-12-26,2
2019-12-27,6
2019-12-28,2
2019-12-29,2
2019-12-30,0
2019-12-31,1
2020-01-01,2
2020-01-02,4
2020-01-03,4
2020-01-04,4
2020-01-05,3
2020-01-06,2
2020-01-07,6
2020-01-08,8
2020-01-09,5
2020-01-10,12
2020-01-11,16
2020-01-12,38
2020-01-13,23
2020-01-14,24
2020-01-15,16
2020-01-16,46
2020-01-17,50
2020-01-18,36
2020-01-19,38
2020-01-20,21
2020-01-21,20
2020-01-22,24
2020-01-23,16
2020-01-24,19
2020-01-25,17
2020-01-26,32
2020-01-27,8
2020-01-28,14
2020-01-29,19
2020-01-30,14
2020-01-31,16
2020-02-01,13
2020-02-02,11
2020-02-03,12
2020-02-04,12
2020-02-05,17
2020-02-06,7
2020-02-07,35
2020-02-08,66
2020-02-09,146
2020-02-10,183
2020-02-11,169
2020-02-12,157
2020-02-13,160
2020-02-14,139
2020-02-15,135
2020-02-16,132
2020-02-17,114
2020-02-18,139
2020-02-19,138
2020-02-20,159
2020-02-21,164
2020-02-22,167
2020-02-23,274
2020-02-24,391
2020-02-25,357
2020-02-26,438
2020-02-27,566
2020-02-28,604
2020-02-29,588
2020-03-01,620
2020-03-02,451
2020-03-03,432
2020-03-04,465
2020-03-05,476
2020-03-06,449
2020-03-07,469
2020-03-08,462
2020-03-09,376
2020-03-10,361
2020-03-11,358
2020-03-12,388
2020-03-13,413
2020-03-14,373
2020-03-15,365
2020-03-16,336
2020-03-17,351
2020-03-18,270
2020-03-19,305
2020-03-20,286
2020-03-21,276
2020-03-22,309
2020-03-23,265
2020-03-24,307
2020-03-25,242
2020-03-26,241
2020-03-27,305
2020-03-28,282
2020-03-29,312
2020-03-30,263
2020-03-31,195
2020-04-01,222
2020-04-02,228
2020-04-03,260
2020-04-04,224
2020-04-05,243
2020-04-06,205
2020-04-07,233
2020-04-08,225
2020-04-09,268
2020-04-10,309
2020-04-11,220
2020-04-12,287
2020-04-13,196
2020-04-14,189
2020-04-15,207
2020-04-16,194
2020-04-17,211
2020-04-18,293
2020-04-19,197
2020-04-20,198
2020-04-21,170
2020-04-22,165
2020-04-23,172
2020-04-24,173
2020-04-25,147
2020-04-26,181
2020-04-27,127
2020-04-28,141
2020-04-29,115
2020-04-30,133
2020-05-01,112
2020-05-02,142
2020-05-03,109
2020-05-04,212
2020-05-05,124
2020-05-06,104
2020-05-07,158
2020-05-08,104
2020-05-09,105
2020-05-10,104
2020-05-11,103
2020-05-12,82
2020-05-13,93
2020-05-14,76
2020-05-15,78
2020-05-16,89
2020-05-17,85
2020-05-18,74
2020-05-19,81
2020-05-20,82
2020-05-21,60
2020-05-22,65
2020-05-23,68
2020-05-24,54
2020-05-25,69
2020-05-26,63
2020-05-27,65
2020-05-28,56
2020-05-29,69
2020-05-30,71
2020-05-31,61
2020-06-01,68
2020-06-02,62
2020-06-03,48
2020-06-04,55
2020-06-05,63
2020-06-06,61
2020-06-07,53
2020-06-08,57
2020-06-09,52
