created_at,id
2019-12-30,27
2020-01-06,19
2020-01-13,20
2020-01-20,108
2020-01-27,231
2020-02-03,136
2020-02-10,99
2020-02-17,466
2020-02-24,1006
2020-03-02,1432
2020-03-09,3624
2020-03-16,3129
2020-03-23,2594
2020-03-30,2062
2020-04-06,1952
2020-04-13,1577
2020-04-20,1738
2020-04-27,1489
2020-05-04,1135
2020-05-11,964
2020-05-18,802
2020-05-25,577
2020-06-01,479
2020-06-08,453
2020-06-15,399
2020-06-22,414
2020-06-29,447
2020-07-06,455
2020-07-13,436
2020-07-20,471
2020-07-27,466
2020-08-03,413
2020-08-10,391
2020-08-17,351
2020-08-24,360
2020-08-31,374
2020-09-07,331
2020-09-14,316
2020-09-21,338
2020-09-28,385
2020-10-05,398
2020-10-12,467
2020-10-19,555
2020-10-26,528
2020-11-02,550
2020-11-09,517
2020-11-16,412
2020-11-23,316
2020-11-30,298
2020-12-07,277
2020-12-14,343
2020-12-21,320
2020-12-28,412
2021-01-04,351
2021-01-11,346
2021-01-18,348
2021-01-25,316
2021-02-01,266
2021-02-08,236
2021-02-15,260
2021-02-22,255
2021-03-01,343
2021-03-08,384
2021-03-15,397
2021-03-22,289
2021-03-29,293
2021-04-05,268
2021-04-12,244
2021-04-19,198
2021-04-26,192
2021-05-03,195
2021-05-10,242
2021-05-17,188
2021-05-24,208
2021-05-31,175
2021-06-07,183
2021-06-14,216
2021-06-21,180
2021-06-28,188
2021-07-05,265
2021-07-12,288
2021-07-19,341
2021-07-26,316
2021-08-02,257
2021-08-09,209
2021-08-16,202
2021-08-23,219
2021-08-30,217
2021-09-06,242
2021-09-13,212
2021-09-20,162
2021-09-27,163
2021-10-04,157
2021-10-11,154
2021-10-18,155
2021-10-25,154
2021-11-01,178
2021-11-08,171
2021-11-15,152
2021-11-22,202
2021-11-29,212
2021-12-06,146
2021-12-13,194
2021-12-20,201
2021-12-27,293
2022-01-03,247
2022-01-10,160
2022-01-17,176
2022-01-24,125
2022-01-31,108
2022-02-07,126
2022-02-14,105
2022-02-21,103
2022-02-28,82
2022-03-07,97
2022-03-14,107
2022-03-21,80
2022-03-28,87
2022-04-04,99
2022-04-11,85
2022-04-18,120
2022-04-25,108
2022-05-02,85
2022-05-09,77
2022-05-16,103
2022-05-23,96
2022-05-30,106
2022-06-06,113
2022-06-13,107
2022-06-20,108
2022-06-27,118
2022-07-04,146
2022-07-11,136
2022-07-18,110
2022-07-25,95
2022-08-01,90
2022-08-08,79
2022-08-15,96
2022-08-22,106
2022-08-29,96
2022-09-05,80
2022-09-12,114
2022-09-19,98
2022-09-26,117
2022-10-03,85
