created_at,id
2020-01-27,27
2020-02-03,19
2020-02-10,20
2020-02-17,108
2020-02-24,231
2020-03-02,136
2020-03-09,99
2020-03-16,466
2020-03-23,1006
2020-03-30,1432
2020-04-06,3624
2020-04-13,3129
2020-04-20,2594
2020-04-27,2062
2020-05-04,1952
2020-05-11,1577
2020-05-18,1738
2020-05-25,1489
2020-06-01,1135
2020-06-08,964
2020-06-15,802
2020-06-22,577
2020-06-29,479
2020-07-06,453
2020-07-13,399
2020-07-20,414
2020-07-27,447
2020-08-03,455
2020-08-10,436
2020-08-17,471
2020-08-24,466
2020-08-31,413
2020-09-07,391
2020-09-14,351
2020-09-21,360
2020-09-28,374
2020-10-05,331
2020-10-12,316
2020-10-19,338
2020-10-26,385
2020-11-02,398
2020-11-09,467
2020-11-16,555
2020-11-23,528
2020-11-30,550
2020-12-07,517
2020-12-14,412
2020-12-21,316
2020-12-28,298
2021-01-04,277
2021-01-11,343
2021-01-18,320
2021-01-25,412
2021-02-01,351
2021-02-08,346
2021-02-15,348
2021-02-22,316
2021-03-01,266
2021-03-08,236
2021-03-15,260
2021-03-22,255
2021-03-29,343
2021-04-05,384
2021-04-12,397
2021-04-19,289
2021-04-26,293
2021-05-03,268
2021-05-10,244
2021-05-17,198
2021-05-24,192
2021-05-31,195
2021-06-07,242
2021-06-14,188
2021-06-21,208
2021-06-28,175
2021-07-05,183
2021-07-12,216
2021-07-19,180
2021-07-26,188
2021-08-02,265
2021-08-09,288
2021-08-16,341
2021-08-23,316
2021-08-30,257
2021-09-06,209
2021-09-13,202
2021-09-20,219
2021-09-27,217
2021-10-04,242
2021-10-11,212
2021-10-18,162
2021-10-25,163
2021-11-01,157
2021-11-08,154
2021-11-15,155
2021-11-22,154
2021-11-29,178
2021-12-06,171
2021-12-13,152
2021-12-20,202
2021-12-27,212
2022-01-03,146
2022-01-10,194
2022-01-17,201
2022-01-24,293
2022-01-31,247
2022-02-07,160
2022-02-14,176
2022-02-21,125
2022-02-28,108
2022-03-07,126
2022-03-14,105
2022-03-21,103
2022-03-28,82
2022-04-04,97
2022-04-11,107
2022-04-18,80
2022-04-25,87
2022-05-02,99
2022-05-09,85
2022-05-16,120
2022-05-23,108
2022-05-30,85
2022-06-06,77
2022-06-13,103
2022-06-20,96
2022-06-27,106
2022-07-04,113
2022-07-11,107
2022-07-18,108
2022-07-25,118
2022-08-01,146
2022-08-08,136
2022-08-15,110
2022-08-22,95
2022-08-29,90
2022-09-05,79
2022-09-12,96
2022-09-19,106
2022-09-26,96
2022-10-03,80
2022-10-10,114
2022-10-17,98
2022-10-24,117
2022-10-31,85
