created_at,id
2019-12-28,21
2020-01-04,23
2020-01-11,17
2020-01-18,52
2020-01-25,233
2020-02-01,155
2020-02-08,116
2020-02-15,160
2020-02-22,1089
2020-02-29,1013
2020-03-07,3218
2020-03-14,3362
2020-03-21,2731
2020-03-28,2189
2020-04-04,1951
2020-04-11,1704
2020-04-18,1703
2020-04-25,1577
2020-05-02,1222
2020-05-09,951
2020-05-16,916
2020-05-23,625
2020-05-30,515
2020-06-06,447
2020-06-13,418
2020-06-20,398
2020-06-27,462
2020-07-04,414
2020-07-11,479
2020-07-18,454
2020-07-25,464
2020-08-01,432
2020-08-08,393
2020-08-15,356
2020-08-22,372
2020-08-29,377
2020-09-05,344
2020-09-12,294
2020-09-19,365
2020-09-26,341
2020-10-03,394
2020-10-10,487
2020-10-17,463
2020-10-24,578
2020-10-31,535
2020-11-07,533
2020-11-14,433
2020-11-21,360
2020-11-28,291
2020-12-05,289
2020-12-12,292
2020-12-19,327
2020-12-26,416
2021-01-02,370
2021-01-09,338
2021-01-16,332
2021-01-23,342
2021-01-30,295
2021-02-06,233
2021-02-13,252
2021-02-20,251
2021-02-27,307
2021-03-06,338
2021-03-13,476
2021-03-20,296
2021-03-27,283
2021-04-03,279
2021-04-10,248
2021-04-17,217
2021-04-24,201
2021-05-01,180
2021-05-08,240
2021-05-15,181
2021-05-22,216
2021-05-29,192
2021-06-05,159
2021-06-12,195
2021-06-19,207
2021-06-26,190
2021-07-03,247
2021-07-10,259
2021-07-17,349
2021-07-24,295
2021-07-31,322
2021-08-07,202
2021-08-14,182
2021-08-21,232
2021-08-28,225
2021-09-04,228
2021-09-11,223
2021-09-18,168
2021-09-25,169
2021-10-02,153
2021-10-09,162
2021-10-16,152
2021-10-23,159
2021-10-30,171
2021-11-06,181
2021-11-13,135
2021-11-20,207
2021-11-27,226
2021-12-04,145
2021-12-11,163
2021-12-18,211
2021-12-25,288
2022-01-01,264
2022-01-08,159
2022-01-15,178
2022-01-22,126
2022-01-29,119
2022-02-05,128
2022-02-12,102
2022-02-19,109
2022-02-26,85
2022-03-05,88
2022-03-12,108
2022-03-19,85
2022-03-26,86
2022-04-02,103
2022-04-09,79
2022-04-16,114
2022-04-23,108
2022-04-30,101
2022-05-07,79
2022-05-14,87
2022-05-21,102
2022-05-28,107
2022-06-04,112
2022-06-11,104
2022-06-18,115
2022-06-25,96
2022-07-02,145
2022-07-09,147
2022-07-16,112
2022-07-23,105
2022-07-30,83
2022-08-06,83
2022-08-13,99
2022-08-20,107
2022-08-27,89
2022-09-03,90
2022-09-10,92
2022-09-17,111
2022-09-24,115
2022-10-01,102
2022-10-08,11
