created_at,id
2020-01-11,21
2020-01-18,23
2020-01-25,17
2020-02-01,52
2020-02-08,233
2020-02-15,155
2020-02-22,116
2020-02-29,160
2020-03-07,1089
2020-03-14,1013
2020-03-21,3218
2020-03-28,3362
2020-04-04,2731
2020-04-11,2189
2020-04-18,1951
2020-04-25,1704
2020-05-02,1703
2020-05-09,1577
2020-05-16,1222
2020-05-23,951
2020-05-30,916
2020-06-06,625
2020-06-13,515
2020-06-20,447
2020-06-27,418
2020-07-04,398
2020-07-11,462
2020-07-18,414
2020-07-25,479
2020-08-01,454
2020-08-08,464
2020-08-15,432
2020-08-22,393
2020-08-29,356
2020-09-05,372
2020-09-12,377
2020-09-19,344
2020-09-26,294
2020-10-03,365
2020-10-10,341
2020-10-17,394
2020-10-24,487
2020-10-31,463
2020-11-07,578
2020-11-14,535
2020-11-21,533
2020-11-28,433
2020-12-05,360
2020-12-12,291
2020-12-19,289
2020-12-26,292
2021-01-02,327
2021-01-09,416
2021-01-16,370
2021-01-23,338
2021-01-30,332
2021-02-06,342
2021-02-13,295
2021-02-20,233
2021-02-27,252
2021-03-06,251
2021-03-13,307
2021-03-20,338
2021-03-27,476
2021-04-03,296
2021-04-10,283
2021-04-17,279
2021-04-24,248
2021-05-01,217
2021-05-08,201
2021-05-15,180
2021-05-22,240
2021-05-29,181
2021-06-05,216
2021-06-12,192
2021-06-19,159
2021-06-26,195
2021-07-03,207
2021-07-10,190
2021-07-17,247
2021-07-24,259
2021-07-31,349
2021-08-07,295
2021-08-14,322
2021-08-21,202
2021-08-28,182
2021-09-04,232
2021-09-11,225
2021-09-18,228
2021-09-25,223
2021-10-02,168
2021-10-09,169
2021-10-16,153
2021-10-23,162
2021-10-30,152
2021-11-06,159
2021-11-13,171
2021-11-20,181
2021-11-27,135
2021-12-04,207
2021-12-11,226
2021-12-18,145
2021-12-25,163
2022-01-01,211
2022-01-08,288
2022-01-15,264
2022-01-22,159
2022-01-29,178
2022-02-05,126
2022-02-12,119
2022-02-19,128
2022-02-26,102
2022-03-05,109
2022-03-12,85
2022-03-19,88
2022-03-26,108
2022-04-02,85
2022-04-09,86
2022-04-16,103
2022-04-23,79
2022-04-30,114
2022-05-07,108
2022-05-14,101
2022-05-21,79
2022-05-28,87
2022-06-04,102
2022-06-11,107
2022-06-18,112
2022-06-25,104
2022-07-02,115
2022-07-09,96
2022-07-16,145
2022-07-23,147
2022-07-30,112
2022-08-06,105
2022-08-13,83
2022-08-20,83
2022-08-27,99
2022-09-03,107
2022-09-10,89
2022-09-17,90
2022-09-24,92
2022-10-01,111
2022-10-08,115
2022-10-15,102
2022-10-22,11
