created_at,id
2019-12-22,22
2019-12-29,24
2020-01-05,18
2020-01-12,87
2020-01-19,233
2020-01-26,149
2020-02-02,95
2020-02-09,295
2020-02-16,1075
2020-02-23,1155
2020-03-01,3564
2020-03-08,3204
2020-03-15,2634
2020-03-22,2133
2020-03-29,1954
2020-04-05,1635
2020-04-12,1747
2020-04-19,1487
2020-04-26,1206
2020-05-03,879
2020-05-10,911
2020-05-17,606
2020-05-24,484
2020-05-31,454
2020-06-07,410
2020-06-14,403
2020-06-21,456
2020-06-28,437
2020-07-05,460
2020-07-12,460
2020-07-19,476
2020-07-26,420
2020-08-02,377
2020-08-09,356
2020-08-16,371
2020-08-23,375
2020-08-30,332
2020-09-06,308
2020-09-13,351
2020-09-20,370
2020-09-27,386
2020-10-04,479
2020-10-11,536
2020-10-18,541
2020-10-25,523
2020-11-01,543
2020-11-08,408
2020-11-15,337
2020-11-22,300
2020-11-29,282
2020-12-06,319
2020-12-13,328
2020-12-20,411
2020-12-27,364
2021-01-03,329
2021-01-10,355
2021-01-17,325
2021-01-24,276
2021-01-31,230
2021-02-07,261
2021-02-14,266
2021-02-21,307
2021-02-28,359
2021-03-07,440
2021-03-14,290
2021-03-21,294
2021-03-28,271
2021-04-04,257
2021-04-11,200
2021-04-18,194
2021-04-25,186
2021-05-02,243
2021-05-09,191
2021-05-16,207
2021-05-23,181
2021-05-30,178
2021-06-06,207
2021-06-13,185
2021-06-20,189
2021-06-27,261
2021-07-04,275
2021-07-11,343
2021-07-18,317
2021-07-25,279
2021-08-01,202
2021-08-08,182
2021-08-15,244
2021-08-22,217
2021-08-29,232
2021-09-05,217
2021-09-12,159
2021-09-19,171
2021-09-26,154
2021-10-03,158
2021-10-10,160
2021-10-17,155
2021-10-24,166
2021-10-31,185
2021-11-07,135
2021-11-14,209
2021-11-21,221
2021-11-28,145
2021-12-05,179
2021-12-12,198
2021-12-19,296
2021-12-26,258
2022-01-02,160
2022-01-09,168
2022-01-16,133
2022-01-23,116
2022-01-30,128
2022-02-06,100
2022-02-13,105
2022-02-20,83
2022-02-27,92
2022-03-06,112
2022-03-13,83
2022-03-20,87
2022-03-27,96
2022-04-03,79
2022-04-10,126
2022-04-17,103
2022-04-24,92
2022-05-01,75
2022-05-08,95
2022-05-15,100
2022-05-22,110
2022-05-29,112
2022-06-05,104
2022-06-12,111
2022-06-19,108
2022-06-26,143
2022-07-03,146
2022-07-10,114
2022-07-17,98
2022-07-24,83
2022-07-31,79
2022-08-07,104
2022-08-14,107
2022-08-21,91
2022-08-28,83
2022-09-04,105
2022-09-11,104
2022-09-18,116
2022-09-25,98
