created_at,id
2020-01-12,22
2020-01-19,24
2020-01-26,18
2020-02-02,87
2020-02-09,233
2020-02-16,149
2020-02-23,95
2020-03-01,295
2020-03-08,1075
2020-03-15,1155
2020-03-22,3564
2020-03-29,3204
2020-04-05,2634
2020-04-12,2133
2020-04-19,1954
2020-04-26,1635
2020-05-03,1747
2020-05-10,1487
2020-05-17,1206
2020-05-24,879
2020-05-31,911
2020-06-07,606
2020-06-14,484
2020-06-21,454
2020-06-28,410
2020-07-05,403
2020-07-12,456
2020-07-19,437
2020-07-26,460
2020-08-02,460
2020-08-09,476
2020-08-16,420
2020-08-23,377
2020-08-30,356
2020-09-06,371
2020-09-13,375
2020-09-20,332
2020-09-27,308
2020-10-04,351
2020-10-11,370
2020-10-18,386
2020-10-25,479
2020-11-01,536
2020-11-08,541
2020-11-15,523
2020-11-22,543
2020-11-29,408
2020-12-06,337
2020-12-13,300
2020-12-20,282
2020-12-27,319
2021-01-03,328
2021-01-10,411
2021-01-17,364
2021-01-24,329
2021-01-31,355
2021-02-07,325
2021-02-14,276
2021-02-21,230
2021-02-28,261
2021-03-07,266
2021-03-14,307
2021-03-21,359
2021-03-28,440
2021-04-04,290
2021-04-11,294
2021-04-18,271
2021-04-25,257
2021-05-02,200
2021-05-09,194
2021-05-16,186
2021-05-23,243
2021-05-30,191
2021-06-06,207
2021-06-13,181
2021-06-20,178
2021-06-27,207
2021-07-04,185
2021-07-11,189
2021-07-18,261
2021-07-25,275
2021-08-01,343
2021-08-08,317
2021-08-15,279
2021-08-22,202
2021-08-29,182
2021-09-05,244
2021-09-12,217
2021-09-19,232
2021-09-26,217
2021-10-03,159
2021-10-10,171
2021-10-17,154
2021-10-24,158
2021-10-31,160
2021-11-07,155
2021-11-14,166
2021-11-21,185
2021-11-28,135
2021-12-05,209
2021-12-12,221
2021-12-19,145
2021-12-26,179
2022-01-02,198
2022-01-09,296
2022-01-16,258
2022-01-23,160
2022-01-30,168
2022-02-06,133
2022-02-13,116
2022-02-20,128
2022-02-27,100
2022-03-06,105
2022-03-13,83
2022-03-20,92
2022-03-27,112
2022-04-03,83
2022-04-10,87
2022-04-17,96
2022-04-24,79
2022-05-01,126
2022-05-08,103
2022-05-15,92
2022-05-22,75
2022-05-29,95
2022-06-05,100
2022-06-12,110
2022-06-19,112
2022-06-26,104
2022-07-03,111
2022-07-10,108
2022-07-17,143
2022-07-24,146
2022-07-31,114
2022-08-07,98
2022-08-14,83
2022-08-21,79
2022-08-28,104
2022-09-04,107
2022-09-11,91
2022-09-18,83
2022-09-25,105
2022-10-02,104
2022-10-09,116
2022-10-16,98
