created_at,id
2020-01-22,137
2020-01-23,165
2020-01-24,173
2020-01-25,200
2020-01-26,226
2020-01-27,186
2020-01-28,176
2020-01-29,154
2020-01-30,178
2020-01-31,210
2020-02-01,180
2020-02-02,169
2020-02-03,163
2020-02-04,175
2020-02-05,162
2020-02-06,163
2020-02-07,200
2020-02-08,182
2020-02-09,145
2020-02-10,203
2020-02-11,240
2020-02-12,298
2020-02-13,495
2020-02-14,495
2020-02-15,513
2020-02-16,430
2020-02-17,349
2020-02-18,441
2020-02-19,521
2020-02-20,790
2020-02-21,1330
2020-02-22,576
2020-02-23,532
2020-02-24,477
2020-02-25,412
2020-02-26,404
2020-02-27,464
2020-02-28,467
2020-02-29,447
2020-03-01,381
2020-03-02,591
2020-03-03,544
2020-03-04,609
2020-03-05,593
2020-03-06,554
2020-03-07,376
2020-03-08,329
2020-03-09,332
2020-03-10,378
2020-03-11,306
2020-03-12,336
2020-03-13,296
2020-03-14,293
2020-03-15,455
2020-03-16,599
2020-03-17,877
2020-03-18,1155
2020-03-19,1453
2020-03-20,2167
2020-03-21,1553
2020-03-22,1482
2020-03-23,2149
2020-03-24,2755
2020-03-25,3088
2020-03-26,3121
2020-03-27,3155
2020-03-28,2893
2020-03-29,2837
2020-03-30,3921
2020-03-31,4763
2020-04-01,6495
2020-04-02,11469
2020-04-03,13875
2020-04-04,12481
2020-04-05,12028
2020-04-06,14963
2020-04-07,17069
2020-04-08,17003
2020-04-09,15926
2020-04-10,16810
2020-04-11,16202
2020-04-12,18438
2020-04-13,21730
2020-04-14,18852
2020-04-15,17170
2020-04-16,15597
2020-04-17,15548
2020-04-18,13723
2020-04-19,13255
2020-04-20,13005
2020-04-21,12952
2020-04-22,12796
2020-04-23,12598
2020-04-24,12044
2020-04-25,11914
2020-04-26,13904
2020-04-27,12227
2020-04-28,11279
2020-04-29,12115
2020-04-30,12576
2020-05-01,12444
2020-05-02,13171
2020-05-03,11460
2020-05-04,10410
2020-05-05,10273
2020-05-06,10539
2020-05-07,12231
2020-05-08,12456
2020-05-09,11025
2020-05-10,10801
2020-05-11,9557
2020-05-12,9842
2020-05-13,10027
2020-05-14,10376
2020-05-15,10616
2020-05-16,9470
2020-05-17,8808
2020-05-18,9277
2020-05-19,10257
2020-05-20,9098
2020-05-21,9716
2020-05-22,9369
2020-05-23,8220
2020-05-24,7844
2020-05-25,8138
2020-05-26,9118
2020-05-27,9273
2020-05-28,11002
2020-05-29,9142
2020-05-30,9752
2020-05-31,14725
2020-06-01,10731
2020-06-02,8770
2020-06-03,8826
2020-06-04,8156
2020-06-05,8389
2020-06-06,8230
2020-06-07,6882
2020-06-08,7103
2020-06-09,7151
2020-06-10,7584
2020-06-11,7235
2020-06-12,7302
2020-06-13,10035
2020-06-14,10252
2020-06-15,10758
2020-06-16,8101
2020-06-17,7664
2020-06-18,7959
2020-06-19,6636
2020-06-20,6644
2020-06-21,7002
2020-06-22,5990
2020-06-23,4948
2020-06-24,6375
2020-06-25,5666
2020-06-26,5608
2020-06-27,6281
2020-06-28,5478
2020-06-29,4543
2020-06-30,4282
2020-07-01,4840
2020-07-02,4619
2020-07-03,4788
2020-07-04,4323
2020-07-05,3713
2020-07-06,4893
2020-07-07,5013
2020-07-08,5038
2020-07-09,4689
2020-07-10,4677
2020-07-11,4238
2020-07-12,3470
2020-07-13,3590
2020-07-14,4986
2020-07-15,4677
2020-07-16,5297
2020-07-17,4780
2020-07-18,4033
2020-07-19,3696
2020-07-20,5535
2020-07-21,4890
2020-07-22,4663
2020-07-23,4698
2020-07-24,5140
2020-07-25,5385
2020-07-26,4474
2020-07-27,3698
2020-07-28,4198
2020-07-29,3884
2020-07-30,3942
2020-07-31,3783
2020-08-01,3642
2020-08-02,3705
2020-08-03,4216
2020-08-04,6251
2020-08-05,4532
2020-08-06,4054
