created_at,id
2019-12-28,675
2020-01-04,1310
2020-01-11,1214
2020-01-18,2389
2020-01-25,4437
2020-02-01,3203
2020-02-08,3648
2020-02-15,2270
2020-02-22,8259
2020-02-29,18643
2020-03-07,55841
2020-03-14,110001
2020-03-21,121058
2020-03-28,88564
2020-04-04,87716
2020-04-11,78394
2020-04-18,70689
2020-04-25,64745
2020-05-02,64269
2020-05-09,67827
2020-05-16,53292
2020-05-23,58014
2020-05-30,41870
2020-06-06,32873
2020-06-13,32261
2020-06-20,30833
2020-06-27,34007
2020-07-04,27621
2020-07-11,30404
2020-07-18,26100
2020-07-25,26193
2020-08-01,22261
2020-08-08,21597
2020-08-15,19457
2020-08-22,19366
2020-08-29,18992
2020-09-05,25110
2020-09-12,24873
2020-09-19,33312
2020-09-26,26863
2020-10-03,28116
2020-10-10,29171
2020-10-17,25039
2020-10-24,33421
2020-10-31,40789
2020-11-07,30244
2020-11-14,26577
2020-11-21,25915
2020-11-28,25400
2020-12-05,19705
2020-12-12,27815
2020-12-19,26449
2020-12-26,32980
2021-01-02,53315
2021-01-09,36642
2021-01-16,30274
2021-01-23,32022
2021-01-30,25927
2021-02-06,23155
2021-02-13,22563
2021-02-20,24337
2021-02-27,19465
2021-03-06,17095
2021-03-13,19994
2021-03-20,21243
2021-03-27,15244
2021-04-03,14347
2021-04-10,13803
2021-04-17,11821
2021-04-24,12876
2021-05-01,11555
2021-05-08,13069
2021-05-15,13101
2021-05-22,13520
2021-05-29,12349
2021-06-05,12471
2021-06-12,14433
2021-06-19,13482
2021-06-26,13111
2021-07-03,18335
2021-07-10,16243
2021-07-17,21620
2021-07-24,12265
2021-07-31,10860
2021-08-07,9658
2021-08-14,8673
2021-08-21,9462
2021-08-28,9885
2021-09-04,11393
2021-09-11,8866
2021-09-18,8154
2021-09-25,7897
2021-10-02,7542
2021-10-09,8406
2021-10-16,12054
2021-10-23,8249
2021-10-30,10078
2021-11-06,9097
2021-11-13,8396
2021-11-20,9692
2021-11-27,13143
2021-12-04,13718
2021-12-11,20638
2021-12-18,16453
2021-12-25,13722
2022-01-01,11503
2022-01-08,8444
2022-01-15,7420
2022-01-22,6224
2022-01-29,5723
2022-02-05,5092
2022-02-12,4570
2022-02-19,6380
2022-02-26,3556
2022-03-05,4417
2022-03-12,5039
2022-03-19,5663
2022-03-26,5340
2022-04-02,4987
2022-04-09,5535
2022-04-16,4953
2022-04-23,4575
2022-04-30,4029
2022-05-07,4323
2022-05-14,3885
2022-05-21,4619
2022-05-28,3657
2022-06-04,4771
2022-06-11,4085
2022-06-18,4691
2022-06-25,4741
2022-07-02,5784
2022-07-09,5385
2022-07-16,4667
2022-07-23,3895
2022-07-30,3205
2022-08-06,3256
2022-08-13,3388
2022-08-20,3610
2022-08-27,3388
2022-09-03,3098
2022-09-10,2600
2022-09-17,3414
2022-09-24,3865
2022-10-01,4233
2022-10-08,628
