created_at,id
2020-01-25,675
2020-02-01,1310
2020-02-08,1214
2020-02-15,2389
2020-02-22,4437
2020-02-29,3203
2020-03-07,3648
2020-03-14,2270
2020-03-21,8259
2020-03-28,18643
2020-04-04,55841
2020-04-11,110001
2020-04-18,121058
2020-04-25,88564
2020-05-02,87716
2020-05-09,78394
2020-05-16,70689
2020-05-23,64745
2020-05-30,64269
2020-06-06,67827
2020-06-13,53292
2020-06-20,58014
2020-06-27,41870
2020-07-04,32873
2020-07-11,32261
2020-07-18,30833
2020-07-25,34007
2020-08-01,27621
2020-08-08,30404
2020-08-15,26100
2020-08-22,26193
2020-08-29,22261
2020-09-05,21597
2020-09-12,19457
2020-09-19,19366
2020-09-26,18992
2020-10-03,25110
2020-10-10,24873
2020-10-17,33312
2020-10-24,26863
2020-10-31,28116
2020-11-07,29171
2020-11-14,25039
2020-11-21,33421
2020-11-28,40789
2020-12-05,30244
2020-12-12,26577
2020-12-19,25915
2020-12-26,25400
2021-01-02,19705
2021-01-09,27815
2021-01-16,26449
2021-01-23,32980
2021-01-30,53315
2021-02-06,36642
2021-02-13,30274
2021-02-20,32022
2021-02-27,25927
2021-03-06,23155
2021-03-13,22563
2021-03-20,24337
2021-03-27,19465
2021-04-03,17095
2021-04-10,19994
2021-04-17,21243
2021-04-24,15244
2021-05-01,14347
2021-05-08,13803
2021-05-15,11821
2021-05-22,12876
2021-05-29,11555
2021-06-05,13069
2021-06-12,13101
2021-06-19,13520
2021-06-26,12349
2021-07-03,12471
2021-07-10,14433
2021-07-17,13482
2021-07-24,13111
2021-07-31,18335
2021-08-07,16243
2021-08-14,21620
2021-08-21,12265
2021-08-28,10860
2021-09-04,9658
2021-09-11,8673
2021-09-18,9462
2021-09-25,9885
2021-10-02,11393
2021-10-09,8866
2021-10-16,8154
2021-10-23,7897
2021-10-30,7542
2021-11-06,8406
2021-11-13,12054
2021-11-20,8249
2021-11-27,10078
2021-12-04,9097
2021-12-11,8396
2021-12-18,9692
2021-12-25,13143
2022-01-01,13718
2022-01-08,20638
2022-01-15,16453
2022-01-22,13722
2022-01-29,11503
2022-02-05,8444
2022-02-12,7420
2022-02-19,6224
2022-02-26,5723
2022-03-05,5092
2022-03-12,4570
2022-03-19,6380
2022-03-26,3556
2022-04-02,4417
2022-04-09,5039
2022-04-16,5663
2022-04-23,5340
2022-04-30,4987
2022-05-07,5535
2022-05-14,4953
2022-05-21,4575
2022-05-28,4029
2022-06-04,4323
2022-06-11,3885
2022-06-18,4619
2022-06-25,3657
2022-07-02,4771
2022-07-09,4085
2022-07-16,4691
2022-07-23,4741
2022-07-30,5784
2022-08-06,5385
2022-08-13,4667
2022-08-20,3895
2022-08-27,3205
2022-09-03,3256
2022-09-10,3388
2022-09-17,3610
2022-09-24,3388
2022-10-01,3098
2022-10-08,2600
2022-10-15,3414
2022-10-22,3865
2022-10-29,4233
2022-11-05,628
