created_at,id
2020-01-05,901
2020-01-12,1253
2020-01-19,1190
2020-01-26,2674
2020-02-02,4539
2020-02-09,3052
2020-02-16,3596
2020-02-23,2396
2020-03-01,9286
2020-03-08,19998
2020-03-15,65032
2020-03-22,116411
2020-03-29,115875
2020-04-05,89213
2020-04-12,85272
2020-04-19,77735
2020-04-26,68696
2020-05-03,63781
2020-05-10,71150
2020-05-17,59984
2020-05-24,56662
2020-05-31,54764
2020-06-07,40346
2020-06-14,31108
2020-06-21,32018
2020-06-28,31059
2020-07-05,34785
2020-07-12,26852
2020-07-19,29794
2020-07-26,26631
2020-08-02,25710
2020-08-09,21759
2020-08-16,21522
2020-08-23,19330
2020-08-30,19381
2020-09-06,19296
2020-09-13,24962
2020-09-20,25612
2020-09-27,33278
2020-10-04,27133
2020-10-11,28009
2020-10-18,28650
2020-10-25,25048
2020-11-01,38989
2020-11-08,35538
2020-11-15,30783
2020-11-22,26149
2020-11-29,25444
2020-12-06,25022
2020-12-13,19421
2020-12-20,31806
2020-12-27,22698
2021-01-03,36268
2021-01-10,52900
2021-01-17,35325
2021-01-24,30428
2021-01-31,31693
2021-02-07,25234
2021-02-14,23136
2021-02-21,22528
2021-02-28,23999
2021-03-07,19524
2021-03-14,16970
2021-03-21,20085
2021-03-28,20518
2021-04-04,14895
2021-04-11,14515
2021-04-18,13428
2021-04-25,12398
2021-05-02,12134
2021-05-09,11529
2021-05-16,13589
2021-05-23,12783
2021-05-30,13418
2021-06-06,12368
2021-06-13,12613
2021-06-20,14225
2021-06-27,13836
2021-07-04,13819
2021-07-11,17878
2021-07-18,17712
2021-07-25,20330
2021-08-01,11412
2021-08-08,10786
2021-08-15,9390
2021-08-22,9000
2021-08-29,9283
2021-09-05,10165
2021-09-12,11110
2021-09-19,8790
2021-09-26,8075
2021-10-03,7950
2021-10-10,7575
2021-10-17,8395
2021-10-24,12233
2021-10-31,8456
2021-11-07,9793
2021-11-14,8895
2021-11-21,8585
2021-11-28,10925
2021-12-05,12159
2021-12-12,14751
2021-12-19,21086
2021-12-26,14971
2022-01-02,13919
2022-01-09,11009
2022-01-16,8268
2022-01-23,7489
2022-01-30,5922
2022-02-06,5559
2022-02-13,5159
2022-02-20,4975
2022-02-27,5785
2022-03-06,3705
2022-03-13,4395
2022-03-20,5160
2022-03-27,5708
2022-04-03,5252
2022-04-10,4946
2022-04-17,5518
2022-04-24,4918
2022-05-01,4617
2022-05-08,4012
2022-05-15,4250
2022-05-22,4005
2022-05-29,4489
2022-06-05,3636
2022-06-12,4856
2022-06-19,4084
2022-06-26,4753
2022-07-03,4797
2022-07-10,5868
2022-07-17,5321
2022-07-24,4581
2022-07-31,3782
2022-08-07,3197
2022-08-14,3218
2022-08-21,3396
2022-08-28,3627
2022-09-04,3407
2022-09-11,2943
2022-09-18,2721
2022-09-25,3442
2022-10-02,3984
2022-10-09,4294
