created_at,id
2019-12-11,778
2019-12-12,901
2019-12-13,962
2019-12-14,905
2019-12-15,820
2019-12-16,887
2019-12-17,1053
2019-12-18,951
2019-12-19,1113
2019-12-20,1035
2019-12-21,906
2019-12-22,864
2019-12-23,944
2019-12-24,1101
2019-12-25,1077
2019-12-26,1025
2019-12-27,1062
2019-12-28,818
2019-12-29,730
2019-12-30,971
2019-12-31,1502
2020-01-01,1599
2020-01-02,1805
2020-01-03,2504
2020-01-04,2479
2020-01-05,2649
2020-01-06,2489
2020-01-07,3447
2020-01-08,3714
2020-01-09,3896
2020-01-10,3480
2020-01-11,2458
2020-01-12,2116
2020-01-13,2204
2020-01-14,1997
2020-01-15,2063
2020-01-16,2084
2020-01-17,2424
2020-01-18,2020
2020-01-19,1647
2020-01-20,1899
2020-01-21,2122
2020-01-22,1881
2020-01-23,2161
2020-01-24,1794
2020-01-25,1427
2020-01-26,1449
2020-01-27,1748
2020-01-28,1711
2020-01-29,1775
2020-01-30,1709
2020-01-31,1815
2020-02-01,1658
2020-02-02,1794
2020-02-03,2714
2020-02-04,4662
2020-02-05,7178
2020-02-06,11244
2020-02-07,11992
2020-02-08,11126
2020-02-09,7632
2020-02-10,10706
2020-02-11,11671
2020-02-12,11156
2020-02-13,13606
2020-02-14,15150
2020-02-15,14856
2020-02-16,13402
2020-02-17,21481
2020-02-18,26892
2020-02-19,37327
2020-02-20,81674
2020-02-21,71130
2020-02-22,53357
2020-02-23,54991
2020-02-24,68946
2020-02-25,75220
2020-02-26,73902
2020-02-27,73066
2020-02-28,73288
2020-02-29,64078
2020-03-01,63180
2020-03-02,64173
2020-03-03,62515
2020-03-04,58002
2020-03-05,56683
2020-03-06,55954
2020-03-07,50113
2020-03-08,49592
2020-03-09,53243
2020-03-10,50408
2020-03-11,50544
2020-03-12,48919
2020-03-13,47854
2020-03-14,44450
2020-03-15,42068
2020-03-16,42027
2020-03-17,42432
2020-03-18,41505
2020-03-19,38325
2020-03-20,38343
2020-03-21,33901
2020-03-22,30288
2020-03-23,33005
2020-03-24,34271
2020-03-25,35697
2020-03-26,35530
2020-03-27,35750
2020-03-28,32183
2020-03-29,30277
2020-03-30,30514
2020-03-31,30558
2020-04-01,31739
2020-04-02,31272
2020-04-03,31614
2020-04-04,24547
2020-04-05,23160
2020-04-06,24670
2020-04-07,28681
2020-04-08,27668
2020-04-09,26579
2020-04-10,25585
2020-04-11,23326
2020-04-12,22035
2020-04-13,22983
2020-04-14,25354
2020-04-15,24685
2020-04-16,23626
2020-04-17,22356
2020-04-18,20239
2020-04-19,17227
2020-04-20,19513
2020-04-21,22479
2020-04-22,22351
2020-04-23,23941
2020-04-24,23534
2020-04-25,20011
2020-04-26,18483
2020-04-27,20738
2020-04-28,19593
2020-04-29,19746
2020-04-30,20600
2020-05-01,19697
2020-05-02,16882
2020-05-03,17727
2020-05-04,16526
2020-05-05,17118
2020-05-06,17447
2020-05-07,17201
2020-05-08,15624
2020-05-09,13738
2020-05-10,13158
2020-05-11,12161
2020-05-12,10441
2020-05-13,10388
2020-05-14,10369
2020-05-15,10497
2020-05-16,9205
2020-05-17,8379
2020-05-18,9329
2020-05-19,10035
2020-05-20,10326
2020-05-21,11293
2020-05-22,11986
2020-05-23,10398
2020-05-24,9482
2020-05-25,11746
2020-05-26,13067
2020-05-27,14350
2020-05-28,13898
2020-05-29,14799
2020-05-30,15103
2020-05-31,12186
2020-06-01,12708
2020-06-02,15377
2020-06-03,16917
2020-06-04,20299
2020-06-05,22976
2020-06-06,19709
2020-06-07,17226
2020-06-08,17422
2020-06-09,19327
2020-06-10,19572
2020-06-11,20892
2020-06-12,18938
2020-06-13,16196
2020-06-14,13768
2020-06-15,18004
2020-06-16,19096
2020-06-17,20123
2020-06-18,19569
2020-06-19,19091
2020-06-20,17335
2020-06-21,18015
2020-06-22,20361
2020-06-23,21165
2020-06-24,21554
2020-06-25,21878
2020-06-26,20477
2020-06-27,15702
2020-06-28,15390
2020-06-29,16794
2020-06-30,17391
2020-07-01,17526
2020-07-02,16560
2020-07-03,16053
2020-07-04,13481
2020-07-05,12692
2020-07-06,16687
2020-07-07,17150
2020-07-08,16877
2020-07-09,19669
2020-07-10,16406
2020-07-11,14590
2020-07-12,13250
2020-07-13,14424
2020-07-14,14883
2020-07-15,14230
2020-07-16,14848
2020-07-17,14465
2020-07-18,12428
2020-07-19,12189
2020-07-20,14961
2020-07-21,15560
2020-07-22,13358
2020-07-23,13801
2020-07-24,13564
2020-07-25,10783
2020-07-26,10593
2020-07-27,11708
2020-07-28,12762
2020-07-29,12199
2020-07-30,12208
2020-07-31,11294
2020-08-01,10490
2020-08-02,10932
2020-08-03,10818
2020-08-04,11222
2020-08-05,11492
2020-08-06,10693
2020-08-07,12662
2020-08-08,9297
2020-08-09,9171
2020-08-10,11174
2020-08-11,11180
2020-08-12,12424
2020-08-13,13333
2020-08-14,11007
2020-08-15,9162
2020-08-16,8280
2020-08-17,9292
2020-08-18,10237
2020-08-19,13366
2020-08-20,14801
2020-08-21,12694
2020-08-22,9554
2020-08-23,10150
2020-08-24,10796
2020-08-25,10718
2020-08-26,13176
2020-08-27,12730
2020-08-28,11169
2020-08-29,7011
2020-08-30,6722
2020-08-31,8815
2020-09-01,10762
2020-09-02,10169
2020-09-03,9447
2020-09-04,9278
2020-09-05,8328
2020-09-06,7214
2020-09-07,7140
2020-09-08,8886
2020-09-09,12059
2020-09-10,8724
2020-09-11,40847
2020-09-12,24572
2020-09-13,17351
2020-09-14,22581
2020-09-15,22331
2020-09-16,16071
2020-09-17,18836
2020-09-18,11923
2020-09-19,11253
2020-09-20,9712
2020-09-21,10987
2020-09-22,10929
2020-09-23,10613
2020-09-24,9195
2020-09-25,10078
2020-09-26,8710
2020-09-27,8899
2020-09-28,9767
2020-09-29,10319
2020-09-30,9804
2020-10-01,9911
2020-10-02,13723
2020-10-03,10773
2020-10-04,11329
2020-10-05,11322
2020-10-06,12080
2020-10-07,15792
2020-10-08,11741
2020-10-09,12355
2020-10-10,12525
2020-10-11,11220
2020-10-12,9757
2020-10-13,10518
2020-10-14,9200
2020-10-15,9585
2020-10-16,10352
2020-10-17,14744
2020-10-18,12239
2020-10-19,14632
2020-10-20,11829
2020-10-21,12434
2020-10-22,16993
2020-10-23,18564
2020-10-24,14847
2020-10-25,13259
2020-10-26,16235
2020-10-27,16211
2020-10-28,16797
2020-10-29,16377
2020-10-30,16096
2020-10-31,13991
2020-11-01,12678
2020-11-02,12748
2020-11-03,12569
2020-11-04,12920
2020-11-05,11530
2020-11-06,8551
2020-11-07,8839
2020-11-08,9749
2020-11-09,10489
2020-11-10,11690
2020-11-11,11368
2020-11-12,12730
2020-11-13,12981
2020-11-14,12224
2020-11-15,11924
2020-11-16,12171
2020-11-17,14369
2020-11-18,13698
2020-11-19,13335
2020-11-20,13240
2020-11-21,12858
2020-11-22,11627
2020-11-23,13257
2020-11-24,12847
2020-11-25,13132
2020-11-26,12951
2020-11-27,14799
2020-11-28,13189
2020-11-29,12130
2020-11-30,12942
2020-12-01,12654
2020-12-02,11931
2020-12-03,9290
2020-12-04,6517
2020-12-05,6570
2020-12-06,9042
2020-12-07,9542
2020-12-08,11209
2020-12-09,14320
2020-12-10,13252
2020-12-11,10695
2020-12-12,9066
2020-12-13,9095
2020-12-14,9020
2020-12-15,10811
2020-12-16,11216
2020-12-17,7896
2020-12-18,8088
2020-12-19,7034
2020-12-20,6511
2020-12-21,7867
2020-12-22,10546
2020-12-23,9484
2020-12-24,8400
2020-12-25,9485
2020-12-26,8679
2020-12-27,7940
2020-12-28,7191
2020-12-29,8778
2020-12-30,9273
2020-12-31,9512
2021-01-01,9679
2021-01-02,8297
2021-01-03,7820
2021-01-04,8786
2021-01-05,9301
2021-01-06,8985
2021-01-07,8176
2021-01-08,8149
2021-01-09,8025
2021-01-10,7482
2021-01-11,7571
2021-01-12,7588
2021-01-13,7670
2021-01-14,8154
2021-01-15,8158
2021-01-16,7265
2021-01-17,7256
2021-01-18,8957
2021-01-19,7139
2021-01-20,7454
2021-01-21,7422
2021-01-22,7155
2021-01-23,5768
2021-01-24,5007
2021-01-25,5698
2021-01-26,6870
2021-01-27,7111
2021-01-28,7323
2021-01-29,6511
2021-01-30,5618
2021-01-31,5509
2021-02-01,6603
2021-02-02,7089
2021-02-03,6950
2021-02-04,6964
2021-02-05,7097
2021-02-06,6843
2021-02-07,6378
2021-02-08,6559
2021-02-09,12249
2021-02-10,13029
2021-02-11,9526
2021-02-12,8705
2021-02-13,7699
2021-02-14,6970
2021-02-15,6702
2021-02-16,7042
2021-02-17,8565
2021-02-18,9364
2021-02-19,10512
2021-02-20,7283
2021-02-21,6445
2021-02-22,7056
2021-02-23,7425
2021-02-24,7683
2021-02-25,7458
2021-02-26,7036
2021-02-27,6382
2021-02-28,6148
2021-03-01,7050
2021-03-02,6889
2021-03-03,6534
2021-03-04,7109
2021-03-05,6717
2021-03-06,5384
2021-03-07,4929
2021-03-08,7105
2021-03-09,8565
2021-03-10,7632
2021-03-11,7515
2021-03-12,7037
2021-03-13,5503
2021-03-14,4740
2021-03-15,6524
2021-03-16,7702
2021-03-17,7183
2021-03-18,7021
2021-03-19,6478
2021-03-20,6010
2021-03-21,5478
2021-03-22,5802
2021-03-23,8414
2021-03-24,6493
2021-03-25,6278
2021-03-26,6078
2021-03-27,4683
2021-03-28,4603
2021-03-29,5634
2021-03-30,5139
2021-03-31,4589
2021-04-01,5277
2021-04-02,5413
2021-04-03,5023
2021-04-04,4574
2021-04-05,5422
2021-04-06,7721
2021-04-07,6728
2021-04-08,5907
2021-04-09,5320
2021-04-10,4519
2021-04-11,4021
2021-04-12,5436
2021-04-13,5789
2021-04-14,5604
2021-04-15,5348
2021-04-16,6075
2021-04-17,4190
2021-04-18,3333
2021-04-19,4355
2021-04-20,5118
2021-04-21,5043
2021-04-22,8735
2021-04-23,10059
2021-04-24,6112
2021-04-25,4647
2021-04-26,5181
2021-04-27,5441
2021-04-28,5047
2021-04-29,4833
2021-04-30,4573
2021-05-01,3909
2021-05-02,3815
2021-05-03,4173
2021-05-04,4390
2021-05-05,4453
2021-05-06,4330
2021-05-07,4132
2021-05-08,3489
2021-05-09,2989
2021-05-10,2946
2021-05-11,3373
2021-05-12,4009
2021-05-13,4092
2021-05-14,4011
2021-05-15,3442
2021-05-16,3255
2021-05-17,3297
2021-05-18,3363
2021-05-19,4182
2021-05-20,3884
2021-05-21,3839
2021-05-22,3112
2021-05-23,2864
2021-05-24,3296
2021-05-25,4433
2021-05-26,4325
2021-05-27,3609
2021-05-28,3384
2021-05-29,3185
2021-05-30,2473
2021-05-31,3067
2021-06-01,3400
2021-06-02,3712
2021-06-03,3137
2021-06-04,3510
2021-06-05,3507
2021-06-06,3039
2021-06-07,3241
2021-06-08,3402
2021-06-09,3403
2021-06-10,3059
2021-06-11,3022
2021-06-12,2410
2021-06-13,2311
2021-06-14,2807
2021-06-15,3201
2021-06-16,3732
2021-06-17,4113
2021-06-18,4087
2021-06-19,3397
2021-06-20,3437
2021-06-21,3995
2021-06-22,4059
2021-06-23,4317
2021-06-24,4974
2021-06-25,5696
2021-06-26,5783
2021-06-27,4865
2021-06-28,5889
2021-06-29,6923
2021-06-30,7231
2021-07-01,8091
2021-07-02,8103
2021-07-03,6090
2021-07-04,5714
2021-07-05,6474
2021-07-06,8519
2021-07-07,9957
2021-07-08,10802
2021-07-09,11345
2021-07-10,9048
2021-07-11,7674
2021-07-12,8812
2021-07-13,9636
2021-07-14,10354
2021-07-15,10182
2021-07-16,9864
2021-07-17,8417
2021-07-18,7967
2021-07-19,8950
2021-07-20,10789
2021-07-21,10817
2021-07-22,10658
2021-07-23,9891
2021-07-24,8055
2021-07-25,6446
2021-07-26,6680
2021-07-27,9287
2021-07-28,9744
2021-07-29,8957
