created_at,id
2020-01-01,778
2020-01-02,901
2020-01-03,962
2020-01-04,905
2020-01-05,820
2020-01-06,887
2020-01-07,1053
2020-01-08,951
2020-01-09,1113
2020-01-10,1035
2020-01-11,906
2020-01-12,864
2020-01-13,944
2020-01-14,1101
2020-01-15,1077
2020-01-16,1025
2020-01-17,1062
2020-01-18,818
2020-01-19,730
2020-01-20,971
2020-01-21,1502
2020-01-22,1599
2020-01-23,1805
2020-01-24,2504
2020-01-25,2479
2020-01-26,2649
2020-01-27,2489
2020-01-28,3447
2020-01-29,3714
2020-01-30,3896
2020-01-31,3480
2020-02-01,2458
2020-02-02,2116
2020-02-03,2204
2020-02-04,1997
2020-02-05,2063
2020-02-06,2084
2020-02-07,2424
2020-02-08,2020
2020-02-09,1647
2020-02-10,1899
2020-02-11,2122
2020-02-12,1881
2020-02-13,2161
2020-02-14,1794
2020-02-15,1427
2020-02-16,1449
2020-02-17,1748
2020-02-18,1711
2020-02-19,1775
2020-02-20,1709
2020-02-21,1815
2020-02-22,1658
2020-02-23,1794
2020-02-24,2714
2020-02-25,4662
2020-02-26,7178
2020-02-27,11244
2020-02-28,11992
2020-02-29,11126
2020-03-01,7632
2020-03-02,10706
2020-03-03,11671
2020-03-04,11156
2020-03-05,13606
2020-03-06,15150
2020-03-07,14856
2020-03-08,13402
2020-03-09,21481
2020-03-10,26892
2020-03-11,37327
2020-03-12,81674
2020-03-13,71130
2020-03-14,53357
2020-03-15,54991
2020-03-16,68946
2020-03-17,75220
2020-03-18,73902
2020-03-19,73066
2020-03-20,73288
2020-03-21,64078
2020-03-22,63180
2020-03-23,64173
2020-03-24,62515
2020-03-25,58002
2020-03-26,56683
2020-03-27,55954
2020-03-28,50113
2020-03-29,49592
2020-03-30,53243
2020-03-31,50408
2020-04-01,50544
2020-04-02,48919
2020-04-03,47854
2020-04-04,44450
2020-04-05,42068
2020-04-06,42027
2020-04-07,42432
2020-04-08,41505
2020-04-09,38325
2020-04-10,38343
2020-04-11,33901
2020-04-12,30288
2020-04-13,33005
2020-04-14,34271
2020-04-15,35697
2020-04-16,35530
2020-04-17,35750
2020-04-18,32183
2020-04-19,30277
2020-04-20,30514
2020-04-21,30558
2020-04-22,31739
2020-04-23,31272
2020-04-24,31614
2020-04-25,24547
2020-04-26,23160
2020-04-27,24670
2020-04-28,28681
2020-04-29,27668
2020-04-30,26579
2020-05-01,25585
2020-05-02,23326
2020-05-03,22035
2020-05-04,22983
2020-05-05,25354
2020-05-06,24685
2020-05-07,23626
2020-05-08,22356
2020-05-09,20239
2020-05-10,17227
2020-05-11,19513
2020-05-12,22479
2020-05-13,22351
2020-05-14,23941
2020-05-15,23534
2020-05-16,20011
2020-05-17,18483
2020-05-18,20738
2020-05-19,19593
2020-05-20,19746
2020-05-21,20600
2020-05-22,19697
2020-05-23,16882
2020-05-24,17727
2020-05-25,16526
2020-05-26,17118
2020-05-27,17447
2020-05-28,17201
2020-05-29,15624
2020-05-30,13738
2020-05-31,13158
2020-06-01,12161
2020-06-02,10441
2020-06-03,10388
2020-06-04,10369
2020-06-05,10497
2020-06-06,9205
2020-06-07,8379
2020-06-08,9329
2020-06-09,10035
2020-06-10,10326
2020-06-11,11293
2020-06-12,11986
2020-06-13,10398
2020-06-14,9482
2020-06-15,11746
2020-06-16,13067
2020-06-17,14350
2020-06-18,13898
2020-06-19,14799
2020-06-20,15103
2020-06-21,12186
2020-06-22,12708
2020-06-23,15377
2020-06-24,16917
2020-06-25,20299
2020-06-26,22976
2020-06-27,19709
2020-06-28,17226
2020-06-29,17422
2020-06-30,19327
2020-07-01,19572
2020-07-02,20892
2020-07-03,18938
2020-07-04,16196
2020-07-05,13768
2020-07-06,18004
2020-07-07,19096
2020-07-08,20123
2020-07-09,19569
2020-07-10,19091
2020-07-11,17335
2020-07-12,18015
2020-07-13,20361
2020-07-14,21165
2020-07-15,21554
2020-07-16,21878
2020-07-17,20477
2020-07-18,15702
2020-07-19,15390
2020-07-20,16794
2020-07-21,17391
2020-07-22,17526
2020-07-23,16560
2020-07-24,16053
2020-07-25,13481
2020-07-26,12692
2020-07-27,16687
2020-07-28,17150
2020-07-29,16877
2020-07-30,19669
2020-07-31,16406
2020-08-01,14590
2020-08-02,13250
2020-08-03,14424
2020-08-04,14883
2020-08-05,14230
2020-08-06,14848
2020-08-07,14465
2020-08-08,12428
2020-08-09,12189
2020-08-10,14961
2020-08-11,15560
2020-08-12,13358
2020-08-13,13801
2020-08-14,13564
2020-08-15,10783
2020-08-16,10593
2020-08-17,11708
2020-08-18,12762
2020-08-19,12199
2020-08-20,12208
2020-08-21,11294
2020-08-22,10490
2020-08-23,10932
2020-08-24,10818
2020-08-25,11222
2020-08-26,11492
2020-08-27,10693
2020-08-28,12662
2020-08-29,9297
2020-08-30,9171
2020-08-31,11174
2020-09-01,11180
2020-09-02,12424
2020-09-03,13333
2020-09-04,11007
2020-09-05,9162
2020-09-06,8280
2020-09-07,9292
2020-09-08,10237
2020-09-09,13366
2020-09-10,14801
2020-09-11,12694
2020-09-12,9554
2020-09-13,10150
2020-09-14,10796
2020-09-15,10718
2020-09-16,13176
2020-09-17,12730
2020-09-18,11169
2020-09-19,7011
2020-09-20,6722
2020-09-21,8815
2020-09-22,10762
2020-09-23,10169
2020-09-24,9447
