created_at,id
2019-12-30,5253
2020-01-06,6866
2020-01-13,6784
2020-01-20,15027
2020-01-27,21315
2020-02-03,14134
2020-02-10,12582
2020-02-17,13176
2020-02-24,64540
2020-03-02,101322
2020-03-09,394317
2020-03-16,486907
2020-03-23,386102
2020-03-30,326270
2020-04-06,257799
2020-04-13,234222
2020-04-20,197560
2020-04-27,176857
2020-05-04,153000
2020-05-11,151537
2020-05-18,130771
2020-05-25,106447
2020-06-01,68608
2020-06-08,75266
2020-06-15,96111
2020-06-22,129926
2020-06-29,126697
2020-07-06,133590
2020-07-13,132960
2020-07-20,110390
2020-07-27,112366
2020-08-03,98004
2020-08-10,89367
2020-08-17,80703
2020-08-24,75711
2020-08-31,74678
2020-09-07,81598
2020-09-14,70341
2020-09-21,62338
2020-09-28,135020
2020-10-05,101113
2020-10-12,68191
2020-10-19,77181
2020-10-26,85470
2020-11-02,81270
2020-11-09,104161
2020-11-16,104898
2020-11-23,74647
2020-11-30,85088
2020-12-07,92384
2020-12-14,91990
2020-12-21,65546
2020-12-28,76657
2021-01-04,59423
2021-01-11,61725
2021-01-18,62145
2021-01-25,57689
2021-02-01,55048
2021-02-08,45643
2021-02-15,45545
2021-02-22,47880
2021-03-01,64880
2021-03-08,56267
2021-03-15,49182
2021-03-22,44667
2021-03-29,47516
2021-04-05,45674
2021-04-12,42183
2021-04-19,35437
2021-04-26,39652
2021-05-03,34694
2021-05-10,44895
2021-05-17,31791
2021-05-24,26729
2021-05-31,25479
2021-06-07,24540
2021-06-14,24476
2021-06-21,23546
2021-06-28,20414
2021-07-05,25962
2021-07-12,35583
2021-07-19,48626
2021-07-26,66157
2021-08-02,65370
2021-08-09,63336
2021-08-16,62105
2021-08-23,55984
2021-08-30,44311
2021-09-06,46929
2021-09-13,37589
2021-09-20,29541
2021-09-27,30286
2021-10-04,25068
2021-10-11,26537
2021-10-18,23632
2021-10-25,22192
2021-11-01,26255
2021-11-08,22049
2021-11-15,19649
2021-11-22,22480
2021-11-29,26156
2021-12-06,22332
2021-12-13,40797
2021-12-20,46103
2021-12-27,52680
2022-01-03,39249
2022-01-10,22538
2022-01-17,20001
2022-01-24,17313
2022-01-31,15583
2022-02-07,16213
2022-02-14,13757
2022-02-21,12149
2022-02-28,13572
2022-03-07,12975
2022-03-14,11848
2022-03-21,10983
2022-03-28,9988
2022-04-04,11374
2022-04-11,11769
2022-04-18,17626
2022-04-25,12251
2022-05-02,12246
2022-05-09,13775
2022-05-16,14154
2022-05-23,11627
2022-05-30,12042
2022-06-06,12089
2022-06-13,12442
2022-06-20,12226
2022-06-27,11771
2022-07-04,12638
2022-07-11,14021
2022-07-18,16794
2022-07-25,15814
2022-08-01,14044
2022-08-08,11906
2022-08-15,12744
2022-08-22,12520
2022-08-29,11790
2022-09-05,11848
2022-09-12,12465
2022-09-19,12559
2022-09-26,11474
2022-10-03,10323
