created_at,id
2020-01-27,5253
2020-02-03,6866
2020-02-10,6784
2020-02-17,15027
2020-02-24,21315
2020-03-02,14134
2020-03-09,12582
2020-03-16,13176
2020-03-23,64540
2020-03-30,101322
2020-04-06,394317
2020-04-13,486907
2020-04-20,386102
2020-04-27,326270
2020-05-04,257799
2020-05-11,234222
2020-05-18,197560
2020-05-25,176857
2020-06-01,153000
2020-06-08,151537
2020-06-15,130771
2020-06-22,106447
2020-06-29,68608
2020-07-06,75266
2020-07-13,96111
2020-07-20,129926
2020-07-27,126697
2020-08-03,133590
2020-08-10,132960
2020-08-17,110390
2020-08-24,112366
2020-08-31,98004
2020-09-07,89367
2020-09-14,80703
2020-09-21,75711
2020-09-28,74678
2020-10-05,81598
2020-10-12,70341
2020-10-19,62338
2020-10-26,135020
2020-11-02,101113
2020-11-09,68191
2020-11-16,77181
2020-11-23,85470
2020-11-30,81270
2020-12-07,104161
2020-12-14,104898
2020-12-21,74647
2020-12-28,85088
2021-01-04,92384
2021-01-11,91990
2021-01-18,65546
2021-01-25,76657
2021-02-01,59423
2021-02-08,61725
2021-02-15,62145
2021-02-22,57689
2021-03-01,55048
2021-03-08,45643
2021-03-15,45545
2021-03-22,47880
2021-03-29,64880
2021-04-05,56267
2021-04-12,49182
2021-04-19,44667
2021-04-26,47516
2021-05-03,45674
2021-05-10,42183
2021-05-17,35437
2021-05-24,39652
2021-05-31,34694
2021-06-07,44895
2021-06-14,31791
2021-06-21,26729
2021-06-28,25479
2021-07-05,24540
2021-07-12,24476
2021-07-19,23546
2021-07-26,20414
2021-08-02,25962
2021-08-09,35583
2021-08-16,48626
2021-08-23,66157
2021-08-30,65370
2021-09-06,63336
2021-09-13,62105
2021-09-20,55984
2021-09-27,44311
2021-10-04,46929
2021-10-11,37589
2021-10-18,29541
2021-10-25,30286
2021-11-01,25068
2021-11-08,26537
2021-11-15,23632
2021-11-22,22192
2021-11-29,26255
2021-12-06,22049
2021-12-13,19649
2021-12-20,22480
2021-12-27,26156
2022-01-03,22332
2022-01-10,40797
2022-01-17,46103
2022-01-24,52680
2022-01-31,39249
2022-02-07,22538
2022-02-14,20001
2022-02-21,17313
2022-02-28,15583
2022-03-07,16213
2022-03-14,13757
2022-03-21,12149
2022-03-28,13572
2022-04-04,12975
2022-04-11,11848
2022-04-18,10983
2022-04-25,9988
2022-05-02,11374
2022-05-09,11769
2022-05-16,17626
2022-05-23,12251
2022-05-30,12246
2022-06-06,13775
2022-06-13,14154
2022-06-20,11627
2022-06-27,12042
2022-07-04,12089
2022-07-11,12442
2022-07-18,12226
2022-07-25,11771
2022-08-01,12638
2022-08-08,14021
2022-08-15,16794
2022-08-22,15814
2022-08-29,14044
2022-09-05,11906
2022-09-12,12744
2022-09-19,12520
2022-09-26,11790
2022-10-03,11848
2022-10-10,12465
2022-10-17,12559
2022-10-24,11474
2022-10-31,10323
