created_at,id
2019-12-28,3546
2020-01-04,6765
2020-01-11,6891
2020-01-18,11590
2020-01-25,22133
2020-02-01,14908
2020-02-08,12931
2020-02-15,11865
2020-02-22,50710
2020-02-29,84777
2020-03-07,305263
2020-03-14,483491
2020-03-21,410620
2020-03-28,345010
2020-04-04,278601
2020-04-11,236724
2020-04-18,210521
2020-04-25,179669
2020-05-02,161278
2020-05-09,149056
2020-05-16,135739
2020-05-23,115381
2020-05-30,76219
2020-06-06,71746
2020-06-13,92445
2020-06-20,120172
2020-06-27,129573
2020-07-04,126986
2020-07-11,139152
2020-07-18,113195
2020-07-25,114071
2020-08-01,98528
2020-08-08,94216
2020-08-15,81254
2020-08-22,77116
2020-08-29,77451
2020-09-05,78224
2020-09-12,75750
2020-09-19,63521
2020-09-26,109442
2020-10-03,120346
2020-10-10,70224
2020-10-17,73196
2020-10-24,87144
2020-10-31,75376
2020-11-07,101538
2020-11-14,108966
2020-11-21,79835
2020-11-28,81231
2020-12-05,91595
2020-12-12,91802
2020-12-19,72034
2020-12-26,77126
2021-01-02,63160
2021-01-09,60972
2021-01-16,60670
2021-01-23,59242
2021-01-30,53888
2021-02-06,51151
2021-02-13,44138
2021-02-20,47055
2021-02-27,64145
2021-03-06,56438
2021-03-13,49485
2021-03-20,45831
2021-03-27,48286
2021-04-03,45658
2021-04-10,43226
2021-04-17,35678
2021-04-24,40191
2021-05-01,36463
2021-05-08,42755
2021-05-15,33631
2021-05-22,28782
2021-05-29,24862
2021-06-05,24932
2021-06-12,25096
2021-06-19,22806
2021-06-26,21576
2021-07-03,23648
2021-07-10,32261
2021-07-17,47192
2021-07-24,61859
2021-07-31,64939
2021-08-07,67127
2021-08-14,57730
2021-08-21,60288
2021-08-28,47388
2021-09-04,46465
2021-09-11,38647
2021-09-18,31378
2021-09-25,30848
2021-10-02,25628
2021-10-09,25591
2021-10-16,25561
2021-10-23,21744
2021-10-30,25610
2021-11-06,23027
2021-11-13,20426
2021-11-20,20078
2021-11-27,27362
2021-12-04,22435
2021-12-11,34190
2021-12-18,47435
2021-12-25,52171
2022-01-01,44410
2022-01-08,24023
2022-01-15,19952
2022-01-22,18116
2022-01-29,15844
2022-02-05,16354
2022-02-12,14173
2022-02-19,12451
2022-02-26,13509
2022-03-05,12366
2022-03-12,12670
2022-03-19,11383
2022-03-26,10087
2022-04-02,10651
2022-04-09,11917
2022-04-16,17628
2022-04-23,12422
2022-04-30,12175
2022-05-07,13415
2022-05-14,13972
2022-05-21,12362
2022-05-28,11684
2022-06-04,11972
2022-06-11,12776
2022-06-18,12219
2022-06-25,11722
2022-07-02,12182
2022-07-09,13660
2022-07-16,16417
2022-07-23,15625
2022-07-30,14971
2022-08-06,12502
2022-08-13,12345
2022-08-20,12797
2022-08-27,11814
2022-09-03,11688
2022-09-10,11739
2022-09-17,13360
2022-09-24,11497
2022-10-01,11810
2022-10-08,1640
