created_at,id
2020-01-18,3546
2020-01-25,6765
2020-02-01,6891
2020-02-08,11590
2020-02-15,22133
2020-02-22,14908
2020-02-29,12931
2020-03-07,11865
2020-03-14,50710
2020-03-21,84777
2020-03-28,305263
2020-04-04,483491
2020-04-11,410620
2020-04-18,345010
2020-04-25,278601
2020-05-02,236724
2020-05-09,210521
2020-05-16,179669
2020-05-23,161278
2020-05-30,149056
2020-06-06,135739
2020-06-13,115381
2020-06-20,76219
2020-06-27,71746
2020-07-04,92445
2020-07-11,120172
2020-07-18,129573
2020-07-25,126986
2020-08-01,139152
2020-08-08,113195
2020-08-15,114071
2020-08-22,98528
2020-08-29,94216
2020-09-05,81254
2020-09-12,77116
2020-09-19,77451
2020-09-26,78224
2020-10-03,75750
2020-10-10,63521
2020-10-17,109442
2020-10-24,120346
2020-10-31,70224
2020-11-07,73196
2020-11-14,87144
2020-11-21,75376
2020-11-28,101538
2020-12-05,108966
2020-12-12,79835
2020-12-19,81231
2020-12-26,91595
2021-01-02,91802
2021-01-09,72034
2021-01-16,77126
2021-01-23,63160
2021-01-30,60972
2021-02-06,60670
2021-02-13,59242
2021-02-20,53888
2021-02-27,51151
2021-03-06,44138
2021-03-13,47055
2021-03-20,64145
2021-03-27,56438
2021-04-03,49485
2021-04-10,45831
2021-04-17,48286
2021-04-24,45658
2021-05-01,43226
2021-05-08,35678
2021-05-15,40191
2021-05-22,36463
2021-05-29,42755
2021-06-05,33631
2021-06-12,28782
2021-06-19,24862
2021-06-26,24932
2021-07-03,25096
2021-07-10,22806
2021-07-17,21576
2021-07-24,23648
2021-07-31,32261
2021-08-07,47192
2021-08-14,61859
2021-08-21,64939
2021-08-28,67127
2021-09-04,57730
2021-09-11,60288
2021-09-18,47388
2021-09-25,46465
2021-10-02,38647
2021-10-09,31378
2021-10-16,30848
2021-10-23,25628
2021-10-30,25591
2021-11-06,25561
2021-11-13,21744
2021-11-20,25610
2021-11-27,23027
2021-12-04,20426
2021-12-11,20078
2021-12-18,27362
2021-12-25,22435
2022-01-01,34190
2022-01-08,47435
2022-01-15,52171
2022-01-22,44410
2022-01-29,24023
2022-02-05,19952
2022-02-12,18116
2022-02-19,15844
2022-02-26,16354
2022-03-05,14173
2022-03-12,12451
2022-03-19,13509
2022-03-26,12366
2022-04-02,12670
2022-04-09,11383
2022-04-16,10087
2022-04-23,10651
2022-04-30,11917
2022-05-07,17628
2022-05-14,12422
2022-05-21,12175
2022-05-28,13415
2022-06-04,13972
2022-06-11,12362
2022-06-18,11684
2022-06-25,11972
2022-07-02,12776
2022-07-09,12219
2022-07-16,11722
2022-07-23,12182
2022-07-30,13660
2022-08-06,16417
2022-08-13,15625
2022-08-20,14971
2022-08-27,12502
2022-09-03,12345
2022-09-10,12797
2022-09-17,11814
2022-09-24,11688
2022-10-01,11739
2022-10-08,13360
2022-10-15,11497
2022-10-22,11810
2022-10-29,1640
