created_at,id
2019-12-29,4366
2020-01-05,6809
2020-01-12,6757
2020-01-19,13509
2020-01-26,21600
2020-02-02,14439
2020-02-09,12733
2020-02-16,12210
2020-02-23,56548
2020-03-01,90547
2020-03-08,346852
2020-03-15,491680
2020-03-22,397032
2020-03-29,337486
2020-04-05,266821
2020-04-12,236713
2020-04-19,203404
2020-04-26,178544
2020-05-03,156470
2020-05-10,150312
2020-05-17,134983
2020-05-24,110812
2020-05-31,71440
2020-06-07,72849
2020-06-14,95149
2020-06-21,125212
2020-06-28,126115
2020-07-05,131233
2020-07-12,136527
2020-07-19,110497
2020-07-26,114629
2020-08-02,97467
2020-08-09,92620
2020-08-16,81593
2020-08-23,75355
2020-08-30,76560
2020-09-06,80094
2020-09-13,72322
2020-09-20,64013
2020-09-27,119579
2020-10-04,112707
2020-10-11,69411
2020-10-18,75626
2020-10-25,87035
2020-11-01,76395
2020-11-08,102558
2020-11-15,108385
2020-11-22,76906
2020-11-29,83406
2020-12-06,91298
2020-12-13,92305
2020-12-20,68946
2020-12-27,77179
2021-01-03,60576
2021-01-10,62401
2021-01-17,60550
2021-01-24,58904
2021-01-31,53662
2021-02-07,48902
2021-02-14,44640
2021-02-21,47924
2021-02-28,64737
2021-03-07,55913
2021-03-14,49188
2021-03-21,44612
2021-03-28,48097
2021-04-04,46396
2021-04-11,42351
2021-04-18,35649
2021-04-25,39638
2021-05-02,35775
2021-05-09,44069
2021-05-16,32799
2021-05-23,27956
2021-05-30,25128
2021-06-06,24541
2021-06-13,24705
2021-06-20,23372
2021-06-27,20848
2021-07-04,24774
2021-07-11,33689
2021-07-18,48041
2021-07-25,63819
2021-08-01,65232
2021-08-08,65606
2021-08-15,58875
2021-08-22,59001
2021-08-29,46233
2021-09-05,46064
2021-09-12,38191
2021-09-19,30364
2021-09-26,30873
2021-10-03,25330
2021-10-10,25475
2021-10-17,25140
2021-10-24,22065
2021-10-31,26175
2021-11-07,22588
2021-11-14,19889
2021-11-21,21263
2021-11-28,26896
2021-12-05,21940
2021-12-12,37525
2021-12-19,46064
2021-12-26,52902
2022-01-02,42221
2022-01-09,23557
2022-01-16,19927
2022-01-23,17584
2022-01-30,15698
2022-02-06,16235
2022-02-13,14275
2022-02-20,11924
2022-02-27,13604
2022-03-06,12756
2022-03-13,12291
2022-03-20,11209
2022-03-27,9982
2022-04-03,10924
2022-04-10,11655
2022-04-17,17917
2022-04-24,12288
2022-05-01,12224
2022-05-08,13610
2022-05-15,14049
2022-05-22,12129
2022-05-29,11790
2022-06-05,11864
2022-06-12,12710
2022-06-19,12221
2022-06-26,11895
2022-07-03,12216
2022-07-10,13769
2022-07-17,16680
2022-07-24,15821
2022-07-31,14519
2022-08-07,12163
2022-08-14,12455
2022-08-21,12687
2022-08-28,11903
2022-09-04,11712
2022-09-11,11763
2022-09-18,13407
2022-09-25,11340
2022-10-02,12029
