created_at,id
2020-01-19,4366
2020-01-26,6809
2020-02-02,6757
2020-02-09,13509
2020-02-16,21600
2020-02-23,14439
2020-03-01,12733
2020-03-08,12210
2020-03-15,56548
2020-03-22,90547
2020-03-29,346852
2020-04-05,491680
2020-04-12,397032
2020-04-19,337486
2020-04-26,266821
2020-05-03,236713
2020-05-10,203404
2020-05-17,178544
2020-05-24,156470
2020-05-31,150312
2020-06-07,134983
2020-06-14,110812
2020-06-21,71440
2020-06-28,72849
2020-07-05,95149
2020-07-12,125212
2020-07-19,126115
2020-07-26,131233
2020-08-02,136527
2020-08-09,110497
2020-08-16,114629
2020-08-23,97467
2020-08-30,92620
2020-09-06,81593
2020-09-13,75355
2020-09-20,76560
2020-09-27,80094
2020-10-04,72322
2020-10-11,64013
2020-10-18,119579
2020-10-25,112707
2020-11-01,69411
2020-11-08,75626
2020-11-15,87035
2020-11-22,76395
2020-11-29,102558
2020-12-06,108385
2020-12-13,76906
2020-12-20,83406
2020-12-27,91298
2021-01-03,92305
2021-01-10,68946
2021-01-17,77179
2021-01-24,60576
2021-01-31,62401
2021-02-07,60550
2021-02-14,58904
2021-02-21,53662
2021-02-28,48902
2021-03-07,44640
2021-03-14,47924
2021-03-21,64737
2021-03-28,55913
2021-04-04,49188
2021-04-11,44612
2021-04-18,48097
2021-04-25,46396
2021-05-02,42351
2021-05-09,35649
2021-05-16,39638
2021-05-23,35775
2021-05-30,44069
2021-06-06,32799
2021-06-13,27956
2021-06-20,25128
2021-06-27,24541
2021-07-04,24705
2021-07-11,23372
2021-07-18,20848
2021-07-25,24774
2021-08-01,33689
2021-08-08,48041
2021-08-15,63819
2021-08-22,65232
2021-08-29,65606
2021-09-05,58875
2021-09-12,59001
2021-09-19,46233
2021-09-26,46064
2021-10-03,38191
2021-10-10,30364
2021-10-17,30873
2021-10-24,25330
2021-10-31,25475
2021-11-07,25140
2021-11-14,22065
2021-11-21,26175
2021-11-28,22588
2021-12-05,19889
2021-12-12,21263
2021-12-19,26896
2021-12-26,21940
2022-01-02,37525
2022-01-09,46064
2022-01-16,52902
2022-01-23,42221
2022-01-30,23557
2022-02-06,19927
2022-02-13,17584
2022-02-20,15698
2022-02-27,16235
2022-03-06,14275
2022-03-13,11924
2022-03-20,13604
2022-03-27,12756
2022-04-03,12291
2022-04-10,11209
2022-04-17,9982
2022-04-24,10924
2022-05-01,11655
2022-05-08,17917
2022-05-15,12288
2022-05-22,12224
2022-05-29,13610
2022-06-05,14049
2022-06-12,12129
2022-06-19,11790
2022-06-26,11864
2022-07-03,12710
2022-07-10,12221
2022-07-17,11895
2022-07-24,12216
2022-07-31,13769
2022-08-07,16680
2022-08-14,15821
2022-08-21,14519
2022-08-28,12163
2022-09-04,12455
2022-09-11,12687
2022-09-18,11903
2022-09-25,11712
2022-10-02,11763
2022-10-09,13407
2022-10-16,11340
2022-10-23,12029
